symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3
NSXUSD,2023-01-03,1,bearish,S1_NY: 5m retrace → retrace_path,2023-01-03 14:44:00+00:00,11051.949,11052.199,10987.589,10987.409,10873.099
SPXUSD,2023-01-03,2,bearish,S2_NY: 5m retrace → retrace_path,2023-01-03 14:44:00+00:00,3867.122,3867.372,3849.863,,3822.131
SPXUSD,2023-01-05,1,bullish,S1_NY: 5m retrace → retrace_path,2023-01-05 14:44:00+00:00,3809.942,3809.692,3830.266,3862.688,
NSXUSD,2023-01-05,2,bullish,S2_NY: 5m retrace → retrace_path,2023-01-05 14:44:00+00:00,10758.739,10758.489,10839.799,10959.029,
SPXUSD,2023-01-06,2,bearish,S2_NY: 5m retrace → retrace_path,2023-01-06 15:09:00+00:00,3842.046,3842.296,3808.526,3803.225,
NSXUSD,2023-01-09,1,bearish,S1_NY: 5m retrace → retrace_path,2023-01-09 14:44:00+00:00,11163.979,11164.229,11116.479,11055.319,11048.109
NSXUSD,2023-01-11,1,bearish,S1_NY: 5m retrace → retrace_path,2023-01-11 14:44:00+00:00,11275.789,11276.039,11214.689,11177.289,11170.599
SPXUSD,2023-01-11,2,bearish,S2_NY: 5m retrace → retrace_path,2023-01-11 14:44:00+00:00,3943.516,3943.766,3931.446,3916.851,3914.356
NSXUSD,2023-01-17,3,bearish,S3_NY: 5m retrace → retrace_path,2023-01-17 14:49:00+00:00,11530.549,11530.799,11483.029,11481.299,11471.209
SPXUSD,2023-01-18,2,bearish,S2_NY: 5m retrace → retrace_path,2023-01-18 14:59:00+00:00,4008.692,4008.942,3997.383,3991.476,3979.492
NSXUSD,2023-01-20,1,bearish,S1_NY: 5m retrace → retrace_path,2023-01-20 14:44:00+00:00,11377.279,11377.529,11320.809,11314.599,
NSXUSD,2023-01-23,1,bearish,S1_NY: 5m retrace → retrace_path,2023-01-23 14:44:00+00:00,11674.089,11674.339,11609.279,11596.899,11592.099
NSXUSD,2023-01-26,1,bearish,S1_NY: 5m retrace → retrace_path,2023-01-26 15:19:00+00:00,11966.109,11966.359,11889.629,11862.779,11825.899
SPXUSD,2023-01-26,2,bearish,S2_NY: 5m retrace → retrace_path,2023-01-26 15:24:00+00:00,4043.762,4044.912,4020.225,,4016.299
NSXUSD,2023-01-27,1,bearish,S1_NY: 5m retrace → retrace_path,2023-01-27 14:44:00+00:00,12038.599,12038.849,11975.249,11969.909,11965.379
SPXUSD,2023-01-27,2,bearish,S2_NY: 5m retrace → retrace_path,2023-01-27 14:44:00+00:00,4055.622,4055.872,4043.743,,
SPXUSD,2023-01-31,2,bearish,S2_NY: 5m retrace → retrace_path,2023-01-31 14:49:00+00:00,4032.21,4032.46,4020.67,3997.015,
NSXUSD,2023-02-01,1,bearish,S1_NY: 5m retrace → retrace_path,2023-02-01 14:54:00+00:00,12095.109,12095.359,12048.249,,12033.999
NSXUSD,2023-02-01,2,bearish,S2_NY: 5m retrace → retrace_path,2023-02-01 14:54:00+00:00,12095.109,12095.359,12048.249,,12033.999
SPXUSD,2023-02-02,1,bullish,S1_NY: 5m retrace → retrace_path,2023-02-02 14:44:00+00:00,4148.966,4148.716,4161.526,,
SPXUSD,2023-02-06,1,bullish,S1_NY: 5m retrace → retrace_path,2023-02-06 14:44:00+00:00,4107.278,4107.028,4120.022,4120.031,4128.139
NSXUSD,2023-02-07,1,bearish,S1_NY: 5m retrace → retrace_path,2023-02-07 14:44:00+00:00,12486.759,12487.009,12442.369,,
NSXUSD,2023-02-09,1,bearish,S1_NY: 5m retrace → retrace_path,2023-02-09 15:24:00+00:00,12623.239,12663.019,12588.349,,12522.079
NSXUSD,2023-02-13,1,bearish,S1_NY: 5m retrace → retrace_path,2023-02-13 14:44:00+00:00,12370.549,12370.799,12310.509,12283.769,12231.599
SPXUSD,2023-02-13,2,bearish,S2_NY: 5m retrace → retrace_path,2023-02-13 14:44:00+00:00,4101.275,4101.525,4091.522,4083.028,4071.139
SPXUSD,2023-02-17,1,bullish,S1_NY: 5m retrace → retrace_path,2023-02-17 14:44:00+00:00,4060.696,4060.371,4074.176,,4083.218
NSXUSD,2023-02-21,1,bearish,S1_NY: 5m retrace → retrace_path,2023-02-21 14:44:00+00:00,12248.579,12248.829,12186.709,,
NSXUSD,2023-02-23,1,bearish,S1_NY: 5m retrace → retrace_path,2023-02-23 15:44:00+00:00,12137.699,12180.247,12124.219,,
SPXUSD,2023-02-23,2,bearish,S2_NY: 5m retrace → retrace_path,2023-02-23 15:44:00+00:00,4009.171,4012.431,4007.452,4005.702,4002.927
NSXUSD,2023-02-27,1,bearish,S1_NY: 5m retrace → retrace_path,2023-02-27 14:59:00+00:00,12122.199,12122.449,12081.509,12028.899,11984.967
NSXUSD,2023-02-28,1,bearish,S1_NY: 5m retrace → retrace_path,2023-02-28 17:14:00+00:00,12087.309,12101.057,12048.229,12017.897,
NSXUSD,2023-03-03,1,bearish,S1_NY: 5m retrace → retrace_path,2023-03-03 15:09:00+00:00,12127.019,12127.269,12060.529,12025.909,11995.589
SPXUSD,2023-03-03,2,bearish,S2_NY: 5m retrace → retrace_path,2023-03-03 15:09:00+00:00,3997.224,4000.241,3994.233,3978.021,3970.909
NSXUSD,2023-03-06,1,bearish,S1_NY: 5m retrace → retrace_path,2023-03-06 17:14:00+00:00,12444.517,12444.767,12340.059,12286.579,12271.589
SPXUSD,2023-03-06,2,bearish,S2_NY: 5m retrace → retrace_path,2023-03-06 14:44:00+00:00,4059.914,4060.164,4050.914,4043.293,4040.411
NSXUSD,2023-03-08,1,bearish,S1_NY: 5m retrace → retrace_path,2023-03-08 16:04:00+00:00,12185.619,12185.869,12140.289,,12133.999
SPXUSD,2023-03-08,2,bearish,S2_NY: 5m retrace → retrace_path,2023-03-08 15:19:00+00:00,3982.697,3991.762,3971.953,,
SPXUSD,2023-03-09,2,bearish,S2_NY: 5m retrace → retrace_path,2023-03-09 14:44:00+00:00,4005.077,4005.327,3995.629,3977.317,
NSXUSD,2023-03-10,1,bearish,S1_NY: 5m retrace → retrace_path,2023-03-10 16:04:00+00:00,11982.709,12003.057,11855.179,,
NSXUSD,2023-03-14,1,bearish,S1_NY: 5m retrace → retrace_path,2023-03-14 14:49:00+00:00,12182.809,12183.059,12159.859,11949.989,11934.599
SPXUSD,2023-03-14,2,bearish,S2_NY: 5m retrace → retrace_path,2023-03-14 15:14:00+00:00,3932.331,3932.581,3880.013,3864.832,3860.402
SPXUSD,2023-03-17,1,bullish,S1_NY: 5m retrace → retrace_path,2023-03-17 14:44:00+00:00,3910.987,3910.737,3928.611,3973.879,
NSXUSD,2023-03-17,2,bullish,S2_NY: 5m retrace → retrace_path,2023-03-17 15:14:00+00:00,12510.849,12510.599,12625.889,,
NSXUSD,2023-03-20,2,bullish,S2_NY: 5m retrace → retrace_path,2023-03-20 14:44:00+00:00,12474.119,12427.937,12557.079,,12592.837
SPXUSD,2023-03-21,1,bullish,S1_NY: 5m retrace → retrace_path,2023-03-21 16:04:00+00:00,3972.861,3972.611,3985.623,3994.24,
