symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,first_hit,exit_price,R_multiple
NSXUSD,2023-01-04,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-04 14:56:00+00:00,10893.789,10963.379,10878.659,,,tp1,10878.659,0.217416295444762
SPXUSD,2023-01-05,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-05 14:50:00+00:00,3808.493,3802.008,3830.266,3862.799,,tp1,3808.493,1.6787201233615814
NSXUSD,2023-01-10,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-10 14:53:00+00:00,11140.529,11064.729,11168.599,,,tp1,11168.599,0.3703166226912837
SPXUSD,2023-01-11,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-11 14:53:00+00:00,3936.738,3945.068,3931.446,3913.862,3913.04,tp1,3931.446,0.6352941176470196
SPXUSD,2023-01-13,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-13 14:40:00+00:00,3953.07,3947.369,3956.512,3986.159,3987.966,stop,3947.369,-1.0
SPXUSD,2023-01-18,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-18 15:09:00+00:00,4009.972,4013.399,3993.122,3989.198,3977.509,stop,4013.399,-1.0
NSXUSD,2023-01-20,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-20 14:40:00+00:00,11358.279,11320.809,11379.609,11384.309,,tp1,11379.609,0.5692554043234391
NSXUSD,2023-01-25,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-25 14:47:00+00:00,11635.599,11623.279,11662.809,11795.089,,stop,11623.279,-1.0
SPXUSD,2023-01-26,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-26 14:47:00+00:00,4036.538,4052.306,4020.77,4018.378,4014.831,tp1,4020.77,1.0
SPXUSD,2023-01-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-27 15:00:00+00:00,4059.556,4067.291,4043.723,4042.191,,stop,4067.291,-1.0
SPXUSD,2023-02-02,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-02 14:51:00+00:00,4149.725,4158.716,4144.96,4129.04,4122.99,tp1,4144.96,0.5299744188633451
NSXUSD,2023-02-06,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-06 14:59:00+00:00,12499.439,12463.479,12518.699,12524.507,12552.189,tp1,12518.699,0.535595105672962
SPXUSD,2023-02-08,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-08 14:58:00+00:00,4150.633,4149.07,4155.638,4163.625,4168.053,stop,4149.07,-1.0
SPXUSD,2023-02-09,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-09 15:23:00+00:00,4146.385,4150.729,4140.266,4134.726,4122.208,tp1,4140.266,1.4086095764273767
NSXUSD,2023-02-13,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-13 14:42:00+00:00,12351.789,12353.097,12310.509,12271.739,12222.989,stop,12353.097,-1.0
NSXUSD,2023-02-14,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-14 14:41:00+00:00,12460.399,12395.209,12550.407,12641.209,,tp1,12550.407,1.3807025617426234
NSXUSD,2023-02-15,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-15 14:46:00+00:00,12557.799,12517.599,12569.799,12572.389,,tp1,12569.799,0.29850746268656175
SPXUSD,2023-02-16,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-16 15:05:00+00:00,4097.689,4094.818,4104.278,4157.425,,stop,4094.818,-1.0
NSXUSD,2023-02-17,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-17 14:42:00+00:00,12332.119,12323.769,12382.899,,,stop,12323.769,-1.0
SPXUSD,2023-02-22,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-02-22 15:29:00+00:00,3990.651,3997.157,3985.461,,,tp1,3985.461,0.797725176759884
SPXUSD,2023-02-23,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-23 15:30:00+00:00,4013.673,4017.677,4010.831,4001.914,4001.664,tp1,4010.831,0.7097902097900569
NSXUSD,2023-02-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-27 14:45:00+00:00,12089.929,12112.979,12084.819,12011.709,11978.199,tp1,12089.929,0.11084598698483174
SPXUSD,2023-03-01,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-03-01 14:51:00+00:00,3968.092,3970.774,3954.454,,,tp1,3954.454,5.0850111856826965
SPXUSD,2023-03-08,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-08 15:20:00+00:00,3981.076,3987.424,3971.953,,,stop,3987.424,-1.0
NSXUSD,2023-03-09,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-09 15:11:00+00:00,12309.599,12338.989,12195.319,12127.709,,none,12256.059,1.8217080639674017
SPXUSD,2023-03-14,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-14 15:41:00+00:00,3934.133,3936.093,3880.013,3861.357,3855.044,none,3915.802,9.352551020407825
SPXUSD,2023-03-17,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-03-17 14:47:00+00:00,3915.629,3910.614,3928.611,3975.632,,stop,3910.614,-1.0
NSXUSD,2023-03-20,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-03-20 14:41:00+00:00,12474.379,12457.579,12557.079,,,stop,12457.579,-1.0
SPXUSD,2023-03-22,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-22 15:27:00+00:00,4003.333,4005.577,3995.37,3989.111,,stop,4005.577,-1.0
NSXUSD,2023-03-24,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-03-24 14:56:00+00:00,12680.299,12646.209,12713.549,12779.297,12790.599,tp1,12713.549,0.975359342915807
SPXUSD,2023-03-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-27 13:47:00+00:00,3997.202,3998.967,3994.983,3967.791,,tp1,3994.983,1.257223796034114
SPXUSD,2023-03-28,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-03-28 13:50:00+00:00,3969.544,3967.334,3978.676,3992.519,,none,3969.407,-0.06199095022611492
NSXUSD,2023-03-31,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-31 13:55:00+00:00,12972.019,12980.299,12936.039,,,none,12973.349,-0.16062801932365
SPXUSD,2023-04-05,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-04-05 13:55:00+00:00,4091.396,4090.376,4093.062,4102.537,4106.21,none,4092.037,0.6284313725486599
NSXUSD,2023-04-10,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-04-10 14:10:00+00:00,12946.679,12935.029,12996.799,13050.109,,stop,12935.029,-1.0
SPXUSD,2023-04-14,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-04-14 14:22:00+00:00,4140.811,4137.39,4147.82,,,tp1,4147.82,2.0488161356332393
SPXUSD,2023-04-18,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-04-18 14:15:00+00:00,4166.963,4169.997,4163.928999999999,4150.753,4147.581,tp1,4163.928999999999,1.0
SPXUSD,2023-04-20,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-04-20 14:21:00+00:00,4124.441,4122.661,4129.512,4145.507,4148.716,stop,4122.661,-1.0
SPXUSD,2023-04-24,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-04-24 14:13:00+00:00,4133.723,4134.229,4111.232,4110.97,,stop,4134.229,-1.0
SPXUSD,2023-05-02,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-05-02 14:25:00+00:00,4157.217,4157.427,4156.373,,,stop,4157.427,-1.0
SPXUSD,2023-05-03,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-05-03 14:25:00+00:00,4126.753,4127.962,4121.723,,,stop,4127.962,-1.0
NSXUSD,2023-05-04,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-04 14:15:00+00:00,13020.169,13009.409,13091.989,13099.019,,stop,13009.409,-1.0
NSXUSD,2023-05-05,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-05-05 13:55:00+00:00,13054.279,13071.349,13020.119,13008.809,,stop,13071.349,-1.0
NSXUSD,2023-05-09,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-09 14:18:00+00:00,13208.649,13204.129,13238.889,13273.397,13281.857,tp1,13238.889,6.690265486727662
NSXUSD,2023-05-11,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-11 14:25:00+00:00,13356.379,13351.039,13370.749,13401.099,,stop,13351.039,-1.0
SPXUSD,2023-05-16,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-05-16 14:10:00+00:00,4123.792,4126.272,4121.312000000001,,,stop,4126.272,-1.0
SPXUSD,2023-05-17,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-05-17 14:16:00+00:00,4127.331,4127.622,4124.407,4108.554,,stop,4127.622,-1.0
SPXUSD,2023-05-19,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-05-19 13:40:00+00:00,4211.769,4209.284,4212.276,,,stop,4209.284,-1.0
SPXUSD,2023-05-23,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-23 13:43:00+00:00,4185.012,4182.032,4187.991999999999,4199.069,4209.919,stop,4182.032,-1.0
SPXUSD,2023-05-25,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-05-25 14:10:00+00:00,4152.367,4155.62,4138.477,4124.531,4121.11,tp1,4138.477,4.269904703351245
SPXUSD,2023-05-29,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-29 14:10:00+00:00,4214.726,4213.729,4215.732,4223.976,4229.527,stop,4213.729,-1.0
NSXUSD,2023-05-30,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-05-30 14:20:00+00:00,14488.289,14495.169,14442.619,14353.559,14338.519,tp1,14488.289,3.31904069767481
SPXUSD,2023-05-31,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-31 13:49:00+00:00,4186.449,4186.442,4188.237,4198.999,4207.927,stop,4186.442,-1.0
NSXUSD,2023-06-06,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-06 14:18:00+00:00,14548.659,14542.249,14578.287,14582.549,,stop,14542.249,-1.0
SPXUSD,2023-06-08,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-08 13:52:00+00:00,4270.046,4271.286,4262.771,4258.781,4256.737,none,4269.787,0.208870967741984
NSXUSD,2023-06-12,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-06-12 14:15:00+00:00,14611.059,14621.119,14600.998999999998,14577.619,14539.729,tp1,14611.059,0.5
SPXUSD,2023-06-13,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-13 15:00:00+00:00,4357.619,4362.76,4334.557,,,stop,4362.76,-1.0
SPXUSD,2023-06-14,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-14 13:40:00+00:00,4373.617,4376.511,4372.222,4365.701,4364.521,tp1,4372.222,0.482031789910271
NSXUSD,2023-06-16,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-16 14:10:00+00:00,15218.609,15241.899,15214.039,15147.179,15126.519,tp1,15218.609,0.0981107771575761
SPXUSD,2023-06-21,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-21 13:55:00+00:00,4378.582,4376.607,4382.264,4392.812,4393.557,stop,4376.607,-1.0
NSXUSD,2023-06-22,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-22 14:12:00+00:00,14814.039,14809.619,14824.099,14843.219,14877.499,stop,14809.619,-1.0
NSXUSD,2023-06-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-27 13:51:00+00:00,14747.819,14758.299,14723.499,,,stop,14758.299,-1.0
NSXUSD,2023-06-28,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-28 13:55:00+00:00,14873.769,14877.119,14856.899,14850.779,,stop,14877.119,-1.0
NSXUSD,2023-06-30,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-30 14:28:00+00:00,15090.719,15098.489,15006.739,14962.659,14940.549,stop,15098.489,-1.0
NSXUSD,2023-07-06,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-07-06 14:18:00+00:00,15038.869,15031.559,15151.907,,,stop,15031.559,-1.0
NSXUSD,2023-07-07,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-07-07 15:00:00+00:00,15123.109,15087.629,15167.789,,,stop,15087.629,-1.0
SPXUSD,2023-07-12,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-07-12 14:20:00+00:00,4477.422,4478.652,4450.154,4440.071,4435.497,stop,4478.652,-1.0
NSXUSD,2023-07-13,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-07-13 13:48:00+00:00,15415.909,15420.399,15389.889,15349.509,15314.719,stop,15420.399,-1.0
SPXUSD,2023-07-14,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-07-14 13:40:00+00:00,4514.882,4517.352,4512.411999999999,4502.521,4500.594,stop,4517.352,-1.0
SPXUSD,2023-07-17,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-07-17 13:46:00+00:00,4499.626,4498.611,4501.876,4507.427,,stop,4498.611,-1.0
NSXUSD,2023-07-20,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-07-20 13:59:00+00:00,15702.639,15707.609,15689.019,15688.019,,stop,15707.609,-1.0
SPXUSD,2023-07-21,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-07-21 15:00:00+00:00,4541.021,4555.287,4526.754999999999,,,none,4548.186,-0.5022430954717297
NSXUSD,2023-07-25,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-07-25 13:41:00+00:00,15494.219,15498.109,15487.309,15443.549,15434.779,stop,15498.109,-1.0
SPXUSD,2023-07-26,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-07-26 14:19:00+00:00,4557.547,4557.231,4564.402,4572.987,4578.149,stop,4557.231,-1.0
NSXUSD,2023-07-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-07-27 14:25:00+00:00,15714.899,15729.409,15681.469,15600.739,15522.739,stop,15729.409,-1.0
SPXUSD,2023-07-28,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-07-28 14:25:00+00:00,4568.417,4571.092,4552.89,4547.861,4532.132,stop,4571.092,-1.0
SPXUSD,2023-08-01,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-08-01 13:53:00+00:00,4569.492,4569.287,4572.212,4590.6,4596.654,stop,4569.287,-1.0
SPXUSD,2023-08-02,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-08-02 13:45:00+00:00,4548.277,4546.727,4560.082,,,stop,4546.727,-1.0
