symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3
NSXUSD,2023-01-05,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-01-05 14:34:00+00:00,10785.269,10785.019,10785.519,10909.339,10948.079
NSXUSD,2023-02-10,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-02-10 14:38:00+00:00,12307.819,12307.569,12308.069,12382.609,12391.179
NSXUSD,2023-03-28,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-03-28 13:36:00+00:00,12643.789,12643.539,12644.039,12695.139,12697.719
SPXUSD,2023-04-05,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-04-05 13:36:00+00:00,4089.397,4089.147,4089.647,4100.973,4104.797
NSXUSD,2023-04-12,1,bearish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-04-12 13:35:00+00:00,13117.709,13117.959,13117.459,12963.299,12936.599
NSXUSD,2023-04-17,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-04-17 13:35:00+00:00,13071.139,13070.889,13071.389,13099.179,13111.059
NSXUSD,2023-04-25,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-04-25 14:05:00+00:00,12913.709,12913.459,12913.959,12934.319,12968.029
SPXUSD,2023-04-27,1,bearish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-04-27 14:04:00+00:00,4080.31,4080.56,4080.06,4070.432,4062.377
NSXUSD,2023-05-08,1,bearish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-05-08 14:04:00+00:00,13231.809,13232.059,13231.559,13231.559,13231.559
SPXUSD,2023-05-10,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-05-10 13:42:00+00:00,4144.597,4137.317,4151.8769999999995,4151.8769999999995,4151.8769999999995
SPXUSD,2023-05-11,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-05-11 13:34:00+00:00,4136.022,4135.772,4136.272,4147.254,4151.607
SPXUSD,2023-05-23,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-05-23 13:35:00+00:00,4183.744,4183.494,4183.994,4197.072,4207.42
SPXUSD,2023-06-02,1,bearish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-06-02 13:51:00+00:00,4241.162,4241.671,4240.653,4229.122,4222.236
NSXUSD,2023-06-20,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-06-20 14:05:00+00:00,15061.729,15061.479,15061.979,15068.029,15068.029
NSXUSD,2023-06-22,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-06-22 14:05:00+00:00,14821.989,14821.129,14822.848999999998,14834.749,14869.589
SPXUSD,2023-06-23,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-06-23 13:34:00+00:00,4355.529,4355.279,4355.779,4367.934,4383.177
NSXUSD,2023-07-12,1,bearish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-07-12 13:36:00+00:00,15272.259,15272.509,15272.009,15134.609,15118.799
SPXUSD,2023-08-03,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-08-03 13:35:00+00:00,4497.944,4497.694,4498.194,4513.636,4522.661
SPXUSD,2023-08-11,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-08-11 13:34:00+00:00,4455.376,4455.126,4455.626,4476.611,4478.237
SPXUSD,2023-08-22,1,bearish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-08-22 13:34:00+00:00,4425.5,4425.75,4425.25,4396.672,4391.469
NSXUSD,2023-08-31,1,bearish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-08-31 13:35:00+00:00,15485.509,15485.759,15485.259,15455.099,15429.839
NSXUSD,2023-09-01,1,bearish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-09-01 13:39:00+00:00,15613.439,15613.689,15613.189,15494.909,15479.369
SPXUSD,2023-09-05,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-09-05 13:34:00+00:00,4504.623,4504.373,4504.873,4511.111,4515.364
NSXUSD,2023-09-21,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-09-21 13:37:00+00:00,14775.499,14775.249,14775.749,14929.139,14966.099
SPXUSD,2023-09-28,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-09-28 13:34:00+00:00,4288.566,4288.316,4288.816,4288.816,4288.816
NSXUSD,2023-12-07,1,bearish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-12-07 14:41:00+00:00,15931.209,15931.459,15930.959,15790.129,15777.389
SPXUSD,2023-12-28,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-12-28 14:34:00+00:00,4788.917,4788.667,4789.167,4791.611,4792.87
NSXUSD,2023-12-29,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2023-12-29 14:34:00+00:00,16903.099,16902.849,16903.349,16923.839,16940.319
SPXUSD,2024-01-02,1,bullish,S1_NY_1mRetrace_or_5m+1m_on_news,2024-01-02 14:37:00+00:00,4740.379,4740.129,4740.629,4777.626,4781.361
