symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3
SPXUSD,2023-01-19,2,bullish,S2_NY: BOS-path only,2023-01-19 14:57:00+00:00,3907.478,3903.775,11379.649,,
SPXUSD,2023-06-08,2,bearish,S2_NY: BOS-path only,2023-06-08 13:55:00+00:00,4269.034,4269.284,4262.771,4259.037,4257.481
SPXUSD,2023-06-12,2,bearish,S2_NY: BOS-path only,2023-06-12 14:02:00+00:00,4312.811,4313.061,4306.431,,4304.07
SPXUSD,2023-06-16,2,bearish,S2_NY: BOS-path only,2023-06-16 13:59:00+00:00,4436.416,4436.666,4433.637,4417.234,4414.621
NSXUSD,2023-08-01,2,bullish,S2_NY: BOS-path only,2023-08-01 13:55:00+00:00,15673.089,15664.829,15674.599,15753.609,15777.129
SPXUSD,2023-08-02,1,bullish,S1_NY: BOS-path (weak SMT allowed),2023-08-02 13:50:00+00:00,4550.462,4546.97,4560.082,,4568.684
SPXUSD,2023-08-07,2,bearish,S2_NY: BOS-path only,2023-08-07 14:03:00+00:00,4497.614,4497.864,4485.611,,4484.364
SPXUSD,2023-08-09,2,bearish,S2_NY: BOS-path only,2023-08-09 13:41:00+00:00,4509.951,4510.441,4504.2,,4496.389
SPXUSD,2023-08-11,1,bullish,S1_NY: BOS-path (weak SMT allowed),2023-08-11 14:05:00+00:00,4456.87,4451.114,4470.677,4476.611,4478.237
SPXUSD,2023-08-15,1,bullish,S1_NY: BOS-path (weak SMT allowed),2023-08-15 14:02:00+00:00,4459.927,4457.879,4465.12,4495.831,4498.287
NSXUSD,2023-08-28,1,bearish,S1_NY: BOS-path (weak SMT allowed),2023-08-28 14:03:00+00:00,15043.279,15043.529,15014.529,14947.839,14937.099
SPXUSD,2023-08-28,2,bearish,S2_NY: BOS-path only,2023-08-28 13:46:00+00:00,4423.926,4424.67,4422.667,4408.417,4406.42
SPXUSD,2023-09-07,1,bullish,S1_NY: BOS-path (weak SMT allowed),2023-09-07 14:02:00+00:00,4432.766,4431.01,4445.584,4457.331,4464.242
SPXUSD,2023-09-12,1,bullish,S1_NY: BOS-path (weak SMT allowed),2023-09-12 13:54:00+00:00,4475.759,4475.509,4479.737,4484.171,4484.861
SPXUSD,2023-09-18,1,bullish,S1_NY: BOS-path (weak SMT allowed),2023-09-18 14:05:00+00:00,4446.927,4445.177,4449.626,4458.427,4460.182
NSXUSD,2023-09-18,2,bullish,S2_NY: BOS-path only,2023-09-18 14:05:00+00:00,15173.699,15167.049,15185.089,15228.829,
SPXUSD,2023-10-02,1,bullish,S1_NY: BOS-path (weak SMT allowed),2023-10-02 14:15:00+00:00,4280.126,4275.111,4283.987,4318.114,
SPXUSD,2023-10-04,2,bearish,S2_NY: BOS-path only,2023-10-04 14:16:00+00:00,4236.407,4238.867,4233.947,4201.523,
SPXUSD,2023-10-10,2,bearish,S2_NY: BOS-path only,2023-10-10 14:04:00+00:00,4338.616,4338.866,4332.776,,
SPXUSD,2023-10-11,2,bearish,S2_NY: BOS-path only,2023-10-11 13:54:00+00:00,4370.87,4371.12,4361.862,4356.804,4356.751
SPXUSD,2023-10-24,2,bearish,S2_NY: BOS-path only,2023-10-24 13:45:00+00:00,4241.31,4241.56,4240.311,4224.802,4219.102
SPXUSD,2023-10-25,1,bullish,S1_NY: BOS-path (weak SMT allowed),2023-10-25 14:00:00+00:00,4231.759,4230.263,4240.912,,4244.751
SPXUSD,2023-10-31,2,bearish,S2_NY: BOS-path only,2023-10-31 15:02:00+00:00,4172.001,4172.251,4152.274,,4148.607
SPXUSD,2023-11-21,1,bullish,S1_NY: BOS-path (weak SMT allowed),2023-11-21 15:19:00+00:00,4536.946,4536.696,4538.296,4546.161,4551.774
NSXUSD,2023-11-28,2,bullish,S2_NY: BOS-path only,2023-11-28 14:48:00+00:00,15950.679,15929.349,15968.399,,15970.609
SPXUSD,2024-01-10,2,bearish,S2_NY: BOS-path only,2024-01-10 15:01:00+00:00,4761.36,4761.61,4750.239,,4749.007
SPXUSD,2024-01-29,2,bearish,S2_NY: BOS-path only,2024-01-29 15:03:00+00:00,4892.867,4893.617,4887.37,4886.873,4876.927
SPXUSD,2024-02-22,2,bearish,S2_NY: BOS-path only,2024-02-22 14:52:00+00:00,5058.367,5058.617,5040.087,5034.21,5011.381
SPXUSD,2024-03-12,2,bearish,S2_NY: BOS-path only,2024-03-12 14:39:00+00:00,5160.944,5161.194,5124.916,5118.963,
SPXUSD,2024-03-13,1,bullish,S1_NY: BOS-path (weak SMT allowed),2024-03-13 14:54:00+00:00,5167.304,5167.054,5173.464,5179.711,5179.81
SPXUSD,2024-03-22,1,bullish,S1_NY: BOS-path (weak SMT allowed),2024-03-22 15:10:00+00:00,5235.217,5229.673,5242.884,5249.373,
SPXUSD,2024-03-27,2,bearish,S2_NY: BOS-path only,2024-03-27 14:43:00+00:00,5217.861,5219.864,5216.364,,
SPXUSD,2024-04-09,2,bearish,S2_NY: BOS-path only,2024-04-09 13:59:00+00:00,5216.46,5216.71,5213.859,5197.502,
SPXUSD,2024-04-16,2,bearish,S2_NY: BOS-path only,2024-04-16 13:56:00+00:00,5070.752,5073.864,5061.614,5048.234,5042.211
SPXUSD,2024-07-01,1,bullish,S1_NY: BOS-path (weak SMT allowed),2024-07-01 13:53:00+00:00,5473.876,5470.623,5476.629,5478.617,
SPXUSD,2024-09-03,1,bullish,S1_NY: BOS-path (weak SMT allowed),2024-09-03 14:03:00+00:00,5616.132,5614.626,5622.927,5649.814,5653.434
SPXUSD,2024-09-03,2,bullish,S2_NY: BOS-path only,2024-09-03 14:03:00+00:00,5616.132,5614.626,19472.576,,
SPXUSD,2024-09-17,2,bearish,S2_NY: BOS-path only,2024-09-17 14:15:00+00:00,5657.024,5657.274,5651.374,5633.232,5624.389
SPXUSD,2024-09-24,2,bearish,S2_NY: BOS-path only,2024-09-24 14:06:00+00:00,5725.882,5726.132,5712.251,,5707.36
SPXUSD,2024-10-10,1,bullish,S1_NY: BOS-path (weak SMT allowed),2024-10-10 14:02:00+00:00,5775.37,5771.336,5791.207,,5791.856
SPXUSD,2024-10-23,1,bullish,S1_NY: BOS-path (weak SMT allowed),2024-10-23 13:49:00+00:00,5833.186,5832.936,5838.612,5850.491,
SPXUSD,2024-11-20,1,bullish,S1_NY: BOS-path (weak SMT allowed),2024-11-20 15:00:00+00:00,5891.84,5886.887,5917.743,5932.141,
