symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3
SPXUSD,2023-01-03,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-01-03 14:39:00+00:00,3867.863,3868.113,3849.863,3849.613,3820.986
NSXUSD,2023-01-05,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-01-05 14:39:00+00:00,10772.089,10771.839,10839.799,10958.909,
SPXUSD,2023-01-17,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-01-17 14:44:00+00:00,3996.622,3998.869,3989.375,3982.113,
SPXUSD,2023-01-19,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-01-19 14:39:00+00:00,3913.929,3895.925,11376.569,,
NSXUSD,2023-01-25,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-01-25 14:39:00+00:00,11638.489,11638.239,11651.619,11792.209,
SPXUSD,2023-01-26,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-01-26 14:39:00+00:00,4048.832,4049.082,4040.933,4019.296,4015.673
SPXUSD,2023-01-27,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-01-27 14:39:00+00:00,4052.559,4052.809,4043.743,4042.669,
SPXUSD,2023-01-30,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-01-30 14:39:00+00:00,4049.775,4031.151,12053.669,,
NSXUSD,2023-02-08,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-02-08 14:39:00+00:00,12686.689,12673.879,12688.699,12733.529,12755.769
SPXUSD,2023-02-13,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-02-13 14:39:00+00:00,4100.076,4100.326,4091.522,4081.38,4069.766
NSXUSD,2023-02-14,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-02-14 14:39:00+00:00,12441.017,12438.877,12443.157,12571.329,
SPXUSD,2023-03-06,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-03-06 14:39:00+00:00,4057.673,4057.923,4050.914,4042.299,4039.173
SPXUSD,2023-03-09,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-03-09 14:44:00+00:00,4005.077,4005.327,3995.629,3976.251,
NSXUSD,2023-03-20,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-03-20 14:44:00+00:00,12474.119,12397.029,12557.079,,12592.839
SPXUSD,2023-03-21,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-03-21 14:39:00+00:00,3981.361,3981.611,3974.873,3958.939,3949.381
SPXUSD,2023-03-23,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-03-23 14:39:00+00:00,3981.873,3982.123,3976.614,3950.876,3940.777
NSXUSD,2023-04-17,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-04-17 13:39:00+00:00,13087.089,13073.107,13093.109,13115.819,
NSXUSD,2023-04-20,2,bullish,S2_NY: retrace-allowed (bos_path),2023-04-20 13:46:00+00:00,12968.239,12960.349,12977.129,13037.039,13064.749
NSXUSD,2023-04-21,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-04-21 13:39:00+00:00,12955.619,12947.509,12960.199,12994.339,13014.069
NSXUSD,2023-04-28,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-04-28 13:39:00+00:00,13122.409,13099.089,13137.489,,13150.319
NSXUSD,2023-05-19,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-05-19 13:44:00+00:00,13848.209,13836.777,13851.097,13872.039,13904.989
SPXUSD,2023-05-30,2,bearish,S2_NY: retrace-allowed (bos_path),2023-05-30 13:41:00+00:00,4229.226,4230.464,4226.711,4214.717,4212.732
SPXUSD,2023-06-13,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-06-13 13:39:00+00:00,4348.834,4352.082,4334.557,,
SPXUSD,2023-06-15,1,bullish,S1_NY: BOS-path only,2023-06-15 13:50:00+00:00,4357.177,4346.376,4367.977999999999,4369.249,4375.137
NSXUSD,2023-06-23,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-06-23 13:44:00+00:00,14875.749,14875.499,14953.307,14991.399,15052.849
SPXUSD,2023-06-29,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-06-29 13:39:00+00:00,4389.719,4392.073,4386.389,4375.329,
SPXUSD,2023-07-13,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-07-13 13:39:00+00:00,4487.353,4489.209,4483.64,4480.442,4477.021
SPXUSD,2023-07-27,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-07-27 13:39:00+00:00,4605.46,4605.71,4597.406,4580.207,4566.883
SPXUSD,2023-08-02,1,bullish,S1_NY: BOS-path only,2023-08-02 13:50:00+00:00,4550.462,4547.027,4560.082,,4569.487
NSXUSD,2023-08-02,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-02 13:44:00+00:00,15569.119,15516.269,15620.839,,15689.969
NSXUSD,2023-08-03,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-03 13:39:00+00:00,15303.599,15280.839,15317.489,15372.879,15411.899
NSXUSD,2023-08-04,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-04 13:44:00+00:00,15386.879,15351.649,15414.899,15468.309,
SPXUSD,2023-08-07,2,bearish,S2_NY: retrace-allowed (bos_path),2023-08-07 13:44:00+00:00,4493.12,4493.37,4485.611,,4481.734
NSXUSD,2023-08-08,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-08 13:39:00+00:00,15293.509,15279.899,15293.689,15356.139,15413.389
NSXUSD,2023-08-11,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-11 13:39:00+00:00,15052.219,15051.969,15119.909,15167.389,15190.569
NSXUSD,2023-08-15,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-15 13:39:00+00:00,15106.329,15101.099,15134.599,15247.519,15257.789
SPXUSD,2023-08-16,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-08-16 13:39:00+00:00,4436.392,4436.642,4432.406,,
NSXUSD,2023-08-18,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-18 13:39:00+00:00,14582.999,14571.339,14586.509,14711.209,14725.839
SPXUSD,2023-08-28,2,bearish,S2_NY: retrace-allowed (bos_path),2023-08-28 13:47:00+00:00,4423.676,4424.923,4422.667,4408.182,4406.161
SPXUSD,2023-08-29,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-29 13:39:00+00:00,4427.979,4427.701,15024.059,,
NSXUSD,2023-09-05,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-05 13:44:00+00:00,15441.699,15423.079,15463.989,15471.809,15503.369
NSXUSD,2023-09-07,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-07 13:44:00+00:00,15190.559,15190.309,15245.899,15326.689,15372.189
NSXUSD,2023-09-13,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-13 13:39:00+00:00,15260.889,15260.639,15313.309,15317.589,
SPXUSD,2023-09-14,1,bullish,S1_NY: BOS-path only,2023-09-14 13:39:00+00:00,4480.149,4479.899,4485.852,4486.289,
NSXUSD,2023-09-15,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-15 13:44:00+00:00,15432.139,15431.889,15472.989,15511.559,15518.559
NSXUSD,2023-09-21,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-21 13:39:00+00:00,14773.029,14772.779,14800.799,14932.149,14968.609
NSXUSD,2023-09-25,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-25 13:39:00+00:00,14665.779,14638.969,14672.409,14777.749,
NSXUSD,2023-09-26,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-26 13:39:00+00:00,14688.649,14674.069,14726.709,,14781.569
SPXUSD,2023-09-27,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-09-27 13:39:00+00:00,4289.98,4290.23,4284.561,,4276.81
NSXUSD,2023-10-02,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-02 13:39:00+00:00,14719.919,14704.009,14735.829,14857.799,
NSXUSD,2023-10-03,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-03 13:44:00+00:00,14708.857,14708.607,14749.759,14874.279,
SPXUSD,2023-10-04,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-10-04 13:39:00+00:00,4242.003,4242.253,4237.051,4201.397,
NSXUSD,2023-10-09,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-09 13:44:00+00:00,14839.549,14839.299,14880.669,14892.089,
SPXUSD,2023-10-10,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-10-10 13:39:00+00:00,4338.347,4338.597,4334.147,4333.56,
NSXUSD,2023-10-10,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-10 13:39:00+00:00,15055.379,15048.319,15060.889,15095.069,15095.599
NSXUSD,2023-10-11,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-10-11 13:39:00+00:00,15164.989,15190.119,4361.862,,
SPXUSD,2023-10-16,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-10-16 13:39:00+00:00,4348.02,4348.27,4338.511,4327.476,
NSXUSD,2023-10-17,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-17 13:44:00+00:00,15078.209,15077.959,15110.097,15175.329,15176.819
NSXUSD,2023-10-18,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-18 13:44:00+00:00,15023.539,15023.289,15054.819,15095.049,15115.799
SPXUSD,2023-10-19,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-10-19 13:39:00+00:00,4323.023,4323.273,4306.961,4296.237,
SPXUSD,2023-10-24,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-10-24 13:39:00+00:00,4242.189,4242.439,4240.311,4224.67,4219.229
NSXUSD,2023-10-25,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-25 13:44:00+00:00,14658.439,14647.769,14691.919,,14721.619
SPXUSD,2023-11-01,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-01 14:39:00+00:00,4224.602,4224.852,4221.201,4172.672,
SPXUSD,2023-11-02,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-02 14:39:00+00:00,4296.687,4296.937,4292.261,4248.272,4243.376
SPXUSD,2023-11-03,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-03 14:39:00+00:00,4349.76,4350.01,4343.804,4308.951,
SPXUSD,2023-11-06,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-06 14:39:00+00:00,4368.882,4369.132,4363.876,4362.297,4356.927
SPXUSD,2023-11-10,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-10 14:39:00+00:00,4365.263,4368.934,4357.48,4342.13,4340.532
SPXUSD,2023-11-14,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-14 14:39:00+00:00,4476.337,4476.587,4468.801,4410.357,4409.651
NSXUSD,2023-11-15,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-15 14:39:00+00:00,15883.319,15900.039,4502.943,,
SPXUSD,2023-11-16,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-16 14:39:00+00:00,4501.111,4506.873,4494.361,4493.361,4490.591
NSXUSD,2023-11-17,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-11-17 14:44:00+00:00,15778.809,15778.559,15853.899,15856.299,
SPXUSD,2023-11-20,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-20 14:44:00+00:00,4521.62,4521.87,4510.361,4508.867,4506.114
NSXUSD,2023-11-21,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-11-21 14:39:00+00:00,15949.399,15948.539,15957.369,16032.189,16062.399
SPXUSD,2023-11-22,2,bearish,S2_NY: retrace-allowed (bos_path),2023-11-22 14:51:00+00:00,4561.126,4566.617,4552.873,4536.926,4532.494
SPXUSD,2023-11-29,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-29 14:44:00+00:00,4580.804,4581.054,4574.532,4558.263,4554.507
NSXUSD,2023-12-01,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-12-01 14:39:00+00:00,15881.379,15881.129,15910.909,15962.339,
NSXUSD,2023-12-05,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-12-05 14:39:00+00:00,15779.209,15734.689,15804.159,,15822.009
SPXUSD,2023-12-07,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-12-07 14:39:00+00:00,4570.382,4570.632,4567.62,4543.382,
NSXUSD,2023-12-08,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-12-08 14:39:00+00:00,15959.599,15929.949,15974.899,16017.679,
NSXUSD,2023-12-12,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-12-12 14:39:00+00:00,16189.429,16189.179,16223.369,16289.419,
SPXUSD,2023-12-14,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-12-14 14:39:00+00:00,4726.426,4727.917,4724.552,4714.911,4713.721
SPXUSD,2023-12-14,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-12-14 14:39:00+00:00,4726.426,4726.176,16639.099,,
SPXUSD,2023-12-18,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-12-18 14:39:00+00:00,4732.417,4732.667,4727.161,4718.234,
NSXUSD,2023-12-21,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-12-21 14:39:00+00:00,16726.819,16727.069,4729.864,,
NSXUSD,2023-12-29,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-12-29 14:39:00+00:00,16903.849,16897.049,16913.199,16942.619,
NSXUSD,2024-01-02,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-01-02 14:44:00+00:00,16590.819,16590.569,16689.599,16847.799,
NSXUSD,2024-01-03,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-01-03 14:39:00+00:00,16438.189,16425.219,16457.119,16547.679,16551.209
SPXUSD,2024-01-10,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-01-10 14:39:00+00:00,4767.576,4767.826,4756.433,4751.954,4748.773
SPXUSD,2024-01-12,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-01-12 14:39:00+00:00,4799.489,4799.739,4793.731,4759.751,
NSXUSD,2024-01-17,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-01-17 14:39:00+00:00,16634.119,16633.869,16707.242,16769.087,16835.576
SPXUSD,2024-01-22,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-01-22 14:39:00+00:00,4863.382,4863.632,4852.12,4848.24,4843.481
SPXUSD,2024-01-23,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-01-23 14:39:00+00:00,4854.491,4855.689,4850.474,4847.942,
SPXUSD,2024-01-25,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-01-25 14:39:00+00:00,4888.617,4891.132,4884.626,4869.873,4866.117
SPXUSD,2024-01-26,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-01-26 14:39:00+00:00,4893.762,4894.012,4888.934,4871.456,
NSXUSD,2024-01-30,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-01-30 14:39:00+00:00,17569.198,17549.871,17573.487,17607.998,17621.11
NSXUSD,2024-02-01,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-02-01 14:39:00+00:00,17219.921,17257.358,4858.064,,
NSXUSD,2024-02-02,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-02-02 14:39:00+00:00,17457.964,17393.303,17522.625,17542.998,
NSXUSD,2024-02-08,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-02-08 14:39:00+00:00,17756.043,17734.201,17767.708,,17774.176
SPXUSD,2024-02-09,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-02-09 14:39:00+00:00,5003.442,5005.692,4997.777,,4994.433
NSXUSD,2024-02-13,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-02-13 14:39:00+00:00,17580.986,17544.536,17588.999,17875.921,17881.232
SPXUSD,2024-02-14,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-02-14 14:44:00+00:00,4978.101,4979.741,4969.244,4962.082,4951.267
NSXUSD,2024-02-15,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-02-15 14:44:00+00:00,17781.086,17854.882,5001.117,,
SPXUSD,2024-02-16,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-02-16 14:44:00+00:00,5018.343,5018.093,17867.089,,
NSXUSD,2024-02-20,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-02-20 14:44:00+00:00,17523.008,17522.758,17665.665,,17693.331
SPXUSD,2024-02-26,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-02-26 14:39:00+00:00,5094.084,5094.334,5089.093,5079.331,5077.859
NSXUSD,2024-02-28,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-02-28 14:39:00+00:00,17892.576,17876.504,17900.087,17938.643,17971.065
SPXUSD,2024-02-29,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-02-29 14:39:00+00:00,5094.211,5094.461,5088.961,5054.979,
SPXUSD,2024-03-04,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-04 14:39:00+00:00,5129.879,5124.376,18297.942,,
NSXUSD,2024-03-05,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-05 14:39:00+00:00,18048.108,18047.858,18103.631,18149.708,18200.497
SPXUSD,2024-03-08,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-03-08 14:39:00+00:00,5167.539,5167.789,5156.427,5147.099,
SPXUSD,2024-03-12,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-03-12 14:44:00+00:00,5164.187,5164.437,5155.287,5119.209,
SPXUSD,2024-03-14,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-14 14:39:00+00:00,5156.212,5150.844,18090.809,,
NSXUSD,2024-03-15,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-15 14:39:00+00:00,17885.897,17858.204,17903.219,18069.899,
NSXUSD,2024-03-19,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-19 14:39:00+00:00,17868.589,17832.469,17878.808,18000.353,
NSXUSD,2024-03-21,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-03-21 14:39:00+00:00,18392.319,18426.539,5251.914,,
NSXUSD,2024-03-22,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-22 14:39:00+00:00,18283.786,18283.536,18330.02,18360.708,
SPXUSD,2024-03-27,2,bearish,S2_NY: retrace-allowed (bos_path),2024-03-27 14:43:00+00:00,5217.861,5221.379,5217.111,,
SPXUSD,2024-03-28,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-03-28 14:39:00+00:00,5252.293,5252.543,5249.206,5243.859,
NSXUSD,2024-03-28,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-03-28 14:39:00+00:00,18278.608,18278.358,18317.354,,
NSXUSD,2024-04-01,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-04-01 13:39:00+00:00,18288.865,18285.358,18292.389,18382.787,18388.198
NSXUSD,2024-04-02,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-04-02 13:44:00+00:00,18143.975,18143.725,18204.899,18297.975,
NSXUSD,2024-04-03,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-04-03 13:39:00+00:00,18072.798,18063.536,18114.498,,18129.543
SPXUSD,2024-04-05,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-04-05 13:39:00+00:00,5162.267,5168.197,5151.273,,5146.421
SPXUSD,2024-04-09,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-04-09 13:39:00+00:00,5216.387,5216.637,5213.859,5197.297,
NSXUSD,2024-04-12,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-04-12 13:44:00+00:00,18140.431,18140.181,18248.132,18320.975,
SPXUSD,2024-04-15,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-04-15 13:39:00+00:00,5160.814,5161.064,5146.361,5143.629,5126.373
SPXUSD,2024-04-23,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-04-23 13:39:00+00:00,5028.612,5028.862,5020.891,5006.434,5002.827
NSXUSD,2024-04-26,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-04-26 13:39:00+00:00,17628.531,17596.258,17688.498,,
NSXUSD,2024-04-30,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-04-30 13:39:00+00:00,17681.575,17681.325,17770.875,17783.321,17791.219
SPXUSD,2024-05-02,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-05-02 13:39:00+00:00,5054.927,5055.177,5046.382,5040.123,5030.376
SPXUSD,2024-05-03,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-05-03 13:39:00+00:00,5123.326,5123.576,5081.031,5072.894,
NSXUSD,2024-05-08,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-05-08 13:44:00+00:00,17981.32,17981.07,17996.454,18105.776,
SPXUSD,2024-05-14,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-05-14 13:39:00+00:00,5215.974,5225.091,5199.537,,
SPXUSD,2024-05-24,2,bearish,S2_NY: retrace-allowed (bos_path),2024-05-24 13:45:00+00:00,5285.617,5287.601,5277.779,5269.836,5268.96
NSXUSD,2024-05-29,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-05-29 13:44:00+00:00,18714.919,18714.669,18767.475,18817.897,18879.189
SPXUSD,2024-05-31,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-05-31 13:39:00+00:00,5252.62,5252.87,5233.867,5216.373,
SPXUSD,2024-06-06,1,bullish,S1_NY: BOS-path only,2024-06-06 13:45:00+00:00,5352.583,5349.084,5358.81,,5359.967
NSXUSD,2024-06-07,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-06-07 13:39:00+00:00,18963.999,18963.749,19096.686,,
NSXUSD,2024-06-10,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-06-10 13:44:00+00:00,18978.721,18950.724,19002.376,,19016.498
SPXUSD,2024-06-12,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-06-12 13:39:00+00:00,5416.841,5417.091,5381.43,5377.286,5372.106
NSXUSD,2024-06-13,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-06-13 13:39:00+00:00,19608.376,19611.049,5429.801,,
NSXUSD,2024-06-14,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-06-14 13:39:00+00:00,19541.876,19527.493,19552.497,19630.943,
NSXUSD,2024-06-24,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-06-24 13:44:00+00:00,19658.153,19656.593,19694.589,19751.889,
SPXUSD,2024-06-27,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-06-27 13:39:00+00:00,5477.057,5477.307,5468.517,5464.783,5452.599
NSXUSD,2024-07-03,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-07-03 13:44:00+00:00,19969.221,19968.971,20021.999,20037.975,
SPXUSD,2024-07-05,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-07-05 13:39:00+00:00,5538.62,5540.864,5533.617,,5531.381
SPXUSD,2024-07-12,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-07-12 13:39:00+00:00,5585.114,5593.361,5570.496,,
NSXUSD,2024-07-17,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-07-17 13:44:00+00:00,20089.787,20089.537,20114.608,20303.842,20389.831
NSXUSD,2024-07-24,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-07-24 13:44:00+00:00,19454.243,19453.993,19477.643,19593.354,19670.797
NSXUSD,2024-07-25,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-07-25 13:39:00+00:00,19045.889,18999.392,19058.298,19098.332,19136.632
SPXUSD,2024-07-26,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-07-26 13:39:00+00:00,5445.751,5446.889,5441.272,5420.504,5406.586
SPXUSD,2024-07-31,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-07-31 13:39:00+00:00,5496.937,5497.187,5494.069,5470.694,5415.592
NSXUSD,2024-08-02,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-08-02 13:44:00+00:00,18418.075,18417.825,18616.619,18632.664,18830.609
NSXUSD,2024-08-05,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-08-05 13:39:00+00:00,17370.776,17319.093,17421.342,17859.831,18263.62
SPXUSD,2024-08-07,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-08-07 13:39:00+00:00,5299.443,5299.693,5289.452,5254.199,5210.032
SPXUSD,2024-08-13,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-08-13 13:39:00+00:00,5378.399,5378.649,5363.55,5347.826,5343.302
NSXUSD,2024-08-14,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-08-14 13:39:00+00:00,19023.654,18982.86,19062.353,,
SPXUSD,2024-08-15,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-08-15 13:39:00+00:00,5494.537,5494.787,5461.2,5450.581,5448.602
NSXUSD,2024-08-16,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-08-16 13:44:00+00:00,19367.765,19367.515,19414.642,19579.531,
NSXUSD,2024-08-22,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-08-22 13:39:00+00:00,19865.032,19877.214,5624.707,,
SPXUSD,2024-08-29,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-08-29 13:39:00+00:00,5609.794,5610.044,5606.827,5577.796,5550.602
SPXUSD,2024-09-03,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-09-03 13:44:00+00:00,5621.111,5619.064,19472.576,,
SPXUSD,2024-09-09,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-09-09 13:39:00+00:00,5443.379,5445.382,5438.114,5429.376,5399.231
SPXUSD,2024-09-12,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-09-12 13:44:00+00:00,5564.793,5569.642,5557.041,,5549.013
NSXUSD,2024-09-16,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-09-16 13:39:00+00:00,19429.187,19417.836,19431.699,19522.72,19522.775
NSXUSD,2024-09-17,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-09-17 13:39:00+00:00,19536.054,19536.304,5651.77,,
NSXUSD,2024-09-30,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-09-30 13:39:00+00:00,19941.054,19936.904,19952.121,20022.619,20061.998
NSXUSD,2024-10-01,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-10-01 13:39:00+00:00,20049.01,20007.193,20112.689,,20116.465
NSXUSD,2024-10-03,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-10-03 13:44:00+00:00,19751.199,19709.403,19790.843,,19863.676
SPXUSD,2024-10-04,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-10-04 13:39:00+00:00,5737.823,5738.073,5715.314,5695.832,5692.564
SPXUSD,2024-10-07,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-10-07 13:39:00+00:00,5729.877,5722.19,19939.819,,
NSXUSD,2024-10-10,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-10-10 13:39:00+00:00,20168.597,20168.347,20274.298,,20280.353
SPXUSD,2024-10-17,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-10-17 13:39:00+00:00,5873.71,5873.96,5866.519,5835.39,5827.77
NSXUSD,2024-10-22,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-10-22 13:44:00+00:00,20217.443,20217.193,20285.253,20327.319,20381.797
NSXUSD,2024-10-23,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-10-23 13:44:00+00:00,20297.253,20297.003,20335.989,20376.02,
