symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,pnl_R,exit_time_utc,exit_price,exit_reason
SPXUSD,2023-06-15,1,bullish,S1_NY: BOS-path only,2023-06-15 13:50:00+00:00,4357.177,4345.927,4368.427,4371.117,4375.181,1.20987,2023-06-15 16:01:00+00:00,4394.334,all_tps_hit
SPXUSD,2023-08-09,2,bearish,S2_NY: BOS-path only,2023-08-09 13:41:00+00:00,4509.951,4510.947,4504.983,4503.556,4496.324,7.51958,2023-08-09 14:32:00+00:00,4497.073,all_tps_hit
SPXUSD,2023-08-28,2,bearish,S2_NY: BOS-path only,2023-08-28 13:46:00+00:00,4423.926,4424.67,4422.667,4406.914,4405.679,0.8461,2023-08-28 13:52:00+00:00,4423.926,breakeven_after_tp1
SPXUSD,2023-10-24,2,bearish,S2_NY: BOS-path only,2023-10-24 13:45:00+00:00,4241.31,4242.541,4240.311,4222.621,4218.106,-1.0,2023-10-24 13:47:00+00:00,4242.541,stop_before_tp1
SPXUSD,2023-10-25,1,bullish,S1_NY: BOS-path only,2023-10-25 13:46:00+00:00,4232.736,4230.987,4240.912,,4245.269,-1.0,2023-10-25 13:57:00+00:00,4230.987,stop_before_tp1
SPXUSD,2023-11-22,2,bearish,S2_NY: BOS-path only,2023-11-22 14:51:00+00:00,4561.126,4562.623,4552.873,4536.17,4532.491,2.75651,2023-11-22 16:59:00+00:00,4561.126,breakeven_after_tp1
NSXUSD,2023-11-28,2,bullish,S2_NY: BOS-path only,2023-11-28 14:48:00+00:00,15950.679,15924.399,15968.399,,15972.699,-1.0,2023-11-28 14:54:00+00:00,15924.399,stop_before_tp1
SPXUSD,2024-03-06,1,bullish,S1_NY: BOS-path only,2024-03-06 14:40:00+00:00,5108.292,5104.01,5115.497,,,-1.0,2024-03-06 14:58:00+00:00,5104.01,stop_before_tp1
SPXUSD,2024-03-06,1,bullish,S1_NY: BOS-path only,2024-03-06 14:40:00+00:00,5108.292,5104.01,18096.686,,,-1.0,2024-03-06 14:58:00+00:00,5104.01,stop_before_tp1
SPXUSD,2024-03-12,2,bearish,S2_NY: BOS-path only,2024-03-12 14:39:00+00:00,5160.944,5161.94,5155.287,5111.217,,-1.0,2024-03-12 14:40:00+00:00,5161.94,stop_before_tp1
SPXUSD,2024-05-24,2,bearish,S2_NY: BOS-path only,2024-05-24 13:45:00+00:00,5285.617,5285.867,5277.779,5269.08,5268.461,-1.0,2024-05-24 14:01:00+00:00,5285.867,stop_before_tp1
SPXUSD,2024-06-06,1,bullish,S1_NY: BOS-path only,2024-06-06 13:45:00+00:00,5352.583,5346.594,5358.81,,5359.957,0.82768,2024-06-06 14:58:00+00:00,5352.583,breakeven_after_tp1
SPXUSD,2024-08-01,1,bullish,S1_NY: BOS-path only,2024-08-01 13:46:00+00:00,5549.387,5547.08,5557.607,5559.311,,-1.0,2024-08-01 13:48:00+00:00,5547.08,stop_before_tp1
SPXUSD,2024-10-03,1,bullish,S1_NY: BOS-path only,2024-10-03 13:40:00+00:00,5700.603,5697.363,5708.171,,5720.671,-1.0,2024-10-03 13:51:00+00:00,5697.363,stop_before_tp1
SPXUSD,2024-12-10,1,bullish,S1_NY: BOS-path only,2024-12-10 14:43:00+00:00,6055.16,6050.321,21500.675,,,-1.0,2024-12-10 17:16:00+00:00,6050.321,stop_before_tp1
