symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,first_hit,exit_price,R_multiple,hit_tp1,hit_tp2,hit_tp3,ts_tp1,ts_tp2,ts_tp3,be_triggered,ts_be
SPXUSD,2024-01-25,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-01-25 14:56:00+00:00,4888.114,4890.861,4883.111,4868.623,4865.611,stop,4890.861,-1.0,0,0,0,,,,0,
SPXUSD,2024-01-31,1,bullish,S1_NY: 5m retrace + 1m BOS,2024-01-31 15:16:00+00:00,4890.297,4887.301,4905.467,4912.653,,stop,4887.301,-1.0,0,0,0,,,,0,
SPXUSD,2024-02-16,1,bullish,S1_NY: 5m retrace + 1m BOS,2024-02-16 14:56:00+00:00,5007.437,5006.237,5028.832,5042.91,,stop,5006.237,-1.0,0,0,0,,,,0,
NSXUSD,2024-03-13,1,bullish,S1_NY: 5m retrace + 1m BOS,2024-03-13 14:42:00+00:00,18106.919,18075.676,18107.931,18245.475,,tp1,18106.919,0.01619562782061158,1,0,0,2024-03-13 15:42:00+01:00,,,1,2024-03-13 15:42:00+01:00
SPXUSD,2024-03-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-03-27 14:42:00+00:00,5219.611,5222.177,5217.111,5216.123,,stop,5222.177,-1.0,0,0,0,,,,0,
NSXUSD,2024-04-05,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-04-05 13:46:00+00:00,17971.298,17996.354,17859.219,,,stop,17996.354,-1.0,0,0,0,,,,0,
NSXUSD,2024-04-24,3,bullish,S3_NY: 5m retrace + 1m BOS,2024-04-24 14:11:00+00:00,17564.719,17559.32,17612.598,,,stop,17559.32,-1.0,0,0,0,,,,0,
NSXUSD,2024-05-02,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-05-02 13:46:00+00:00,17496.175,17503.598,17446.553,17407.075,17378.121,tp1,17446.553,6.684898289099105,1,0,0,2024-05-02 16:09:00+02:00,,,1,2024-05-02 16:09:00+02:00
SPXUSD,2024-05-06,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-05-06 13:41:00+00:00,5150.123,5151.617,5149.626,5130.961,5128.97,tp1,5149.626,0.3326639892899534,1,0,0,2024-05-06 15:44:00+02:00,,,1,2024-05-06 15:44:00+02:00
SPXUSD,2024-05-08,1,bullish,S1_NY: 5m retrace + 1m BOS,2024-05-08 13:58:00+00:00,5168.484,5166.494,5170.211,5192.134,,stop,5166.494,-1.0,0,0,0,,,,0,
NSXUSD,2024-05-17,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-05-17 13:46:00+00:00,18583.253,18589.009,18574.876,18523.809,,stop,18589.009,-1.0,0,0,0,,,,0,
NSXUSD,2024-05-30,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-05-30 13:47:00+00:00,18717.131,18720.876,18675.998,18595.908,,stop,18720.876,-1.0,0,0,0,,,,0,
SPXUSD,2024-06-26,1,bullish,S1_NY: 5m retrace + 1m BOS,2024-06-26 13:51:00+00:00,5461.284,5460.524,5466.12,5486.192,,stop,5460.524,-1.0,0,0,0,,,,0,
SPXUSD,2024-07-30,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-07-30 13:57:00+00:00,5474.524,5475.78,5472.3,5459.911,5441.684,stop,5475.78,-1.0,0,0,0,,,,0,
NSXUSD,2024-09-12,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-09-12 13:46:00+00:00,19254.697,19262.186,19222.621,,,stop,19262.186,-1.0,0,0,0,,,,0,
NSXUSD,2024-09-19,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-09-19 13:46:00+00:00,19752.964,19773.189,19732.739,19622.775,19401.608,stop,19773.189,-1.0,0,0,0,,,,0,
SPXUSD,2024-10-08,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-10-08 14:11:00+00:00,5717.872,5718.733,5715.396,5688.354,5676.757,stop,5718.733,-1.0,0,0,0,,,,0,
SPXUSD,2024-10-14,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-10-14 14:26:00+00:00,5831.132,5831.632,5824.117,5810.611,5804.629,stop,5831.632,-1.0,0,0,0,,,,0,
NSXUSD,2024-11-21,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-11-21 14:52:00+00:00,20638.364,20696.831,20544.975,20511.508,,tp1,20544.975,1.5972942001472246,1,0,0,2024-11-21 16:01:00+01:00,,,1,2024-11-21 16:01:00+01:00
SPXUSD,2024-11-26,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-11-26 14:53:00+00:00,6002.729,6004.726,5996.554,5977.789,5956.787,stop,6004.726,-1.0,0,0,0,,,,0,
