symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,first_hit,exit_price,R_multiple
SPXUSD,2023-01-11,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-11 14:53:00+00:00,3936.738,3945.068,3931.446,3913.862,3913.04,tp1,3931.446,0.6352941176470196
SPXUSD,2023-01-26,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-26 14:47:00+00:00,4036.538,4052.306,4020.77,4018.378,4014.831,tp1,4020.77,1.0
SPXUSD,2023-02-01,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-01 14:44:00+00:00,4064.659,4067.536,4060.089,4057.468,,stop,4067.536,-1.0
SPXUSD,2023-02-08,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-08 14:58:00+00:00,4150.633,4149.07,4155.638,4163.625,4168.053,stop,4149.07,-1.0
SPXUSD,2023-02-09,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-09 15:23:00+00:00,4146.385,4150.729,4140.266,4134.726,4122.208,tp1,4140.266,1.4086095764273767
SPXUSD,2023-02-21,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-21 14:41:00+00:00,4044.967,4038.961,4050.973,4060.961,4068.527,stop,4038.961,-1.0
SPXUSD,2023-02-28,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-28 14:55:00+00:00,3978.696,3983.4,3969.39,3966.497,,stop,3983.4,-1.0
SPXUSD,2023-03-01,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-01 14:51:00+00:00,3968.092,3970.774,3954.454,,,tp1,3954.454,5.0850111856826965
SPXUSD,2023-03-06,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-06 14:57:00+00:00,4057.917,4061.802,4050.914,4041.537,4038.661,none,4060.664,-0.7070785070785441
SPXUSD,2023-03-08,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-03-08 15:20:00+00:00,3981.076,3987.424,3971.953,,,stop,3987.424,-1.0
SPXUSD,2023-03-10,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-10 15:11:00+00:00,3898.147,3908.116,3893.054,3886.677,3882.394,tp1,3898.147,0.2554418697963598
SPXUSD,2023-03-14,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-14 15:41:00+00:00,3934.133,3936.093,3880.013,3861.357,3855.044,none,3915.802,9.352551020407825
SPXUSD,2023-03-15,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-03-15 14:45:00+00:00,3849.117,3844.361,3872.177,3923.571,3929.697,stop,3844.361,-1.0
SPXUSD,2023-03-17,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-03-17 14:47:00+00:00,3915.629,3910.614,3928.611,3975.632,,stop,3910.614,-1.0
SPXUSD,2023-03-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-27 13:47:00+00:00,3997.202,3998.967,3994.983,3967.791,,tp1,3994.983,1.257223796034114
SPXUSD,2023-04-05,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-04-05 13:55:00+00:00,4091.396,4090.376,4099.379,4102.537,4106.21,none,4092.037,0.6284313725486599
SPXUSD,2023-04-18,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-04-18 14:15:00+00:00,4166.963,4169.997,4163.928999999999,4150.753,4147.581,tp1,4163.928999999999,1.0
SPXUSD,2023-04-20,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-04-20 14:21:00+00:00,4124.441,4122.661,4129.512,4145.507,4148.716,stop,4122.661,-1.0
SPXUSD,2023-04-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-04-27 14:17:00+00:00,4078.001,4080.8,4077.511,4067.241,4060.96,tp1,4078.001,0.0875312611647446
SPXUSD,2023-05-03,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-05-03 14:25:00+00:00,4126.753,4127.962,4121.723,,,stop,4127.962,-1.0
SPXUSD,2023-05-16,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-05-16 14:10:00+00:00,4123.792,4126.272,4121.312000000001,,,stop,4126.272,-1.0
SPXUSD,2023-05-17,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-05-17 14:16:00+00:00,4127.331,4127.622,4124.407,4108.554,,stop,4127.622,-1.0
SPXUSD,2023-05-23,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-23 13:43:00+00:00,4185.012,4182.032,4187.991999999999,4199.069,4209.919,stop,4182.032,-1.0
SPXUSD,2023-05-25,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-05-25 14:10:00+00:00,4152.367,4155.62,4138.477,4124.531,4121.11,tp1,4138.477,4.269904703351245
SPXUSD,2023-05-30,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-05-30 13:41:00+00:00,4229.226,4230.527,4226.711,4213.726,4212.217,tp1,4226.711,1.9331283627968274
SPXUSD,2023-05-31,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-31 13:49:00+00:00,4186.449,4186.442,4188.237,4198.999,4207.927,stop,4186.442,-1.0
SPXUSD,2023-06-02,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-02 13:50:00+00:00,4241.172,4244.682,4229.146,4226.864,4221.454,stop,4244.682,-1.0
SPXUSD,2023-06-06,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-06 14:12:00+00:00,4272.293,4270.774,4276.352,4278.137,,stop,4270.774,-1.0
SPXUSD,2023-06-08,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-08 13:52:00+00:00,4270.046,4271.286,4262.771,4258.781,4256.737,none,4269.787,0.208870967741984
SPXUSD,2023-06-13,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-13 15:00:00+00:00,4357.619,4362.76,4334.557,,,stop,4362.76,-1.0
SPXUSD,2023-06-15,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-15 13:41:00+00:00,4348.873,4346.373,4357.927,4371.117,4375.933,tp1,4357.927,3.621600000000035
SPXUSD,2023-06-21,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-21 13:55:00+00:00,4378.582,4376.607,4382.264,4392.812,4393.557,stop,4376.607,-1.0
SPXUSD,2023-06-28,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-06-28 14:26:00+00:00,4367.299,4368.262,4366.751,4366.374,,tp1,4367.299,0.2845275181723383
SPXUSD,2023-07-06,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-07-06 14:18:00+00:00,4409.157,4407.382,4425.127,4433.781,4445.657,stop,4407.382,-1.0
