symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,pnl_R,exit_time_utc,exit_price,exit_reason
NSXUSD,2023-01-03,1,bearish,S1_NY: 5m retrace → retrace_path,2023-01-03 14:44:00+00:00,11051.949,11052.199,10987.589,10987.409,10873.099,-1.0,2023-01-03 14:45:00+00:00,11052.199,stop_before_tp1
SPXUSD,2023-01-03,2,bearish,S2_NY: 5m retrace → retrace_path,2023-01-03 14:44:00+00:00,3867.122,3867.372,3849.863,,3822.131,-1.0,2023-01-03 14:45:00+00:00,3867.372,stop_before_tp1
SPXUSD,2023-01-05,1,bullish,S1_NY: 5m retrace → retrace_path,2023-01-05 14:44:00+00:00,3809.942,3809.692,3830.266,3862.688,,-1.0,2023-01-05 14:45:00+00:00,3809.692,stop_before_tp1
NSXUSD,2023-01-05,2,bullish,S2_NY: 5m retrace → retrace_path,2023-01-05 14:44:00+00:00,10758.739,10758.489,10839.799,10959.029,,-1.0,2023-01-05 14:45:00+00:00,10758.489,stop_before_tp1
SPXUSD,2023-01-06,2,bearish,S2_NY: 5m retrace → retrace_path,2023-01-06 15:09:00+00:00,3842.046,3842.296,3808.526,3803.225,,-1.0,2023-01-06 15:10:00+00:00,3842.296,stop_before_tp1
NSXUSD,2023-01-09,1,bearish,S1_NY: 5m retrace → retrace_path,2023-01-09 14:44:00+00:00,11163.979,11164.229,11116.479,11055.319,11048.109,-1.0,2023-01-09 14:45:00+00:00,11164.229,stop_before_tp1
NSXUSD,2023-01-11,1,bearish,S1_NY: 5m retrace → retrace_path,2023-01-11 14:44:00+00:00,11275.789,11276.039,11214.689,11177.289,11170.599,-1.0,2023-01-11 14:45:00+00:00,11276.039,stop_before_tp1
SPXUSD,2023-01-11,2,bearish,S2_NY: 5m retrace → retrace_path,2023-01-11 14:44:00+00:00,3943.516,3943.766,3931.446,3916.851,3914.356,-1.0,2023-01-11 14:45:00+00:00,3943.766,stop_before_tp1
NSXUSD,2023-01-17,3,bearish,S3_NY: 5m retrace → retrace_path,2023-01-17 14:49:00+00:00,11530.549,11530.799,11483.029,11481.299,11471.209,-1.0,2023-01-17 14:50:00+00:00,11530.799,stop_before_tp1
SPXUSD,2023-01-18,2,bearish,S2_NY: 5m retrace → retrace_path,2023-01-18 14:59:00+00:00,4008.692,4008.942,3997.383,3991.476,3979.492,-1.0,2023-01-18 15:00:00+00:00,4008.942,stop_before_tp1
NSXUSD,2023-01-20,1,bearish,S1_NY: 5m retrace → retrace_path,2023-01-20 14:44:00+00:00,11377.279,11377.529,11320.809,11314.599,,-1.0,2023-01-20 14:45:00+00:00,11377.529,stop_before_tp1
