symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,first_hit,exit_price,R_multiple
SPXUSD,2023-01-04,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-04 15:00:00+00:00,3836.896,3846.016,3834.01,3828.791,3821.002,stop,3846.016,-1.0
SPXUSD,2023-01-05,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-01-05 14:50:00+00:00,3808.493,3802.008,3821.042,3862.799,,tp1,3821.042,1.9350809560523874
SPXUSD,2023-01-10,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-10 15:06:00+00:00,3898.281,3891.876,3905.511,,,tp1,3905.511,1.128805620608947
SPXUSD,2023-01-11,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-11 14:53:00+00:00,3936.738,3945.068,3931.446,3913.862,3913.04,tp1,3931.446,0.6352941176470196
SPXUSD,2023-01-18,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-18 15:09:00+00:00,4009.972,4013.399,3993.122,3989.198,3977.509,stop,4013.399,-1.0
SPXUSD,2023-01-24,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-01-24 14:42:00+00:00,3999.116,3992.869,4002.122,4020.381,4023.875,tp1,3999.116,0.2405954858331946
SPXUSD,2023-01-25,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-25 14:40:00+00:00,3976.713,3966.449,3986.977,4006.961,,stop,3966.449,-1.0
SPXUSD,2023-01-26,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-26 14:47:00+00:00,4036.538,4052.306,4020.77,4018.378,4014.831,tp1,4020.77,1.0
SPXUSD,2023-01-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-27 15:00:00+00:00,4059.556,4067.291,4043.723,4042.191,,stop,4067.291,-1.0
SPXUSD,2023-02-01,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-01 14:44:00+00:00,4064.659,4067.536,4060.089,4057.468,,stop,4067.536,-1.0
SPXUSD,2023-02-02,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-02 14:51:00+00:00,4149.725,4158.716,4144.96,4129.04,4122.99,tp1,4144.96,0.5299744188633451
SPXUSD,2023-02-09,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-09 15:23:00+00:00,4146.385,4150.729,4140.266,4134.726,4122.208,tp1,4140.266,1.4086095764273767
SPXUSD,2023-02-13,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-02-13 14:42:00+00:00,4098.781,4100.278,4091.522,4080.133,4068.76,stop,4100.278,-1.0
SPXUSD,2023-02-16,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-02-16 15:05:00+00:00,4097.689,4094.818,4104.278,4157.425,,stop,4094.818,-1.0
SPXUSD,2023-02-17,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-02-17 14:42:00+00:00,4064.639,4063.295,4074.176,,,stop,4063.295,-1.0
SPXUSD,2023-02-28,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-02-28 14:55:00+00:00,3978.696,3983.4,3969.39,3966.497,,stop,3983.4,-1.0
SPXUSD,2023-03-01,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-03-01 14:51:00+00:00,3968.092,3970.774,3954.454,,,tp1,3954.454,5.0850111856826965
SPXUSD,2023-03-14,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-14 15:41:00+00:00,3934.133,3936.093,3880.013,3861.357,3855.044,none,3915.802,9.352551020407825
SPXUSD,2023-03-15,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-03-15 14:45:00+00:00,3849.117,3844.361,3872.177,3923.571,3929.697,stop,3844.361,-1.0
SPXUSD,2023-03-20,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-03-20 15:18:00+00:00,3946.844,3943.499,3951.736,,,tp1,3951.736,1.4624813153959502
SPXUSD,2023-03-22,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-22 15:27:00+00:00,4003.333,4005.577,3995.37,3989.111,,stop,4005.577,-1.0
SPXUSD,2023-03-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-27 13:47:00+00:00,3997.202,3998.967,3994.983,3967.791,,tp1,3994.983,1.257223796034114
SPXUSD,2023-03-28,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-03-28 13:50:00+00:00,3969.544,3967.334,3978.676,3992.519,,none,3969.407,-0.06199095022611492
SPXUSD,2023-04-05,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-04-05 13:55:00+00:00,4091.396,4090.376,4099.379,4102.537,4106.21,none,4092.037,0.6284313725486599
SPXUSD,2023-04-10,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-04-10 13:53:00+00:00,4081.376,4081.37,4082.882,4106.927,4112.132,stop,4081.37,-1.0
SPXUSD,2023-04-20,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-04-20 14:21:00+00:00,4124.441,4122.661,4126.221,4145.507,4148.716,stop,4122.661,-1.0
SPXUSD,2023-04-24,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-04-24 14:13:00+00:00,4133.723,4134.229,4111.232,4110.97,,stop,4134.229,-1.0
SPXUSD,2023-04-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-04-27 14:17:00+00:00,4078.001,4080.8,4077.511,4067.241,4060.96,tp1,4078.001,0.0875312611647446
SPXUSD,2023-05-03,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-05-03 14:25:00+00:00,4126.753,4127.962,4121.723,,,stop,4127.962,-1.0
SPXUSD,2023-05-17,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-05-17 14:16:00+00:00,4127.331,4127.622,4124.407,4108.554,,stop,4127.622,-1.0
SPXUSD,2023-05-19,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-05-19 13:40:00+00:00,4211.769,4209.284,4212.276,,,stop,4209.284,-1.0
SPXUSD,2023-05-23,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-23 13:43:00+00:00,4185.012,4182.032,4187.991999999999,4199.069,4209.919,stop,4182.032,-1.0
SPXUSD,2023-05-25,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-05-25 14:10:00+00:00,4152.367,4155.62,4151.643,4124.531,4121.11,tp1,4151.643,0.22256378727335582
SPXUSD,2023-05-29,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-05-29 14:10:00+00:00,4214.726,4213.729,4215.732,4223.976,4229.527,stop,4213.729,-1.0
SPXUSD,2023-05-31,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-31 13:49:00+00:00,4186.449,4186.442,4188.237,4198.999,4207.927,stop,4186.442,-1.0
SPXUSD,2023-06-02,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-02 13:50:00+00:00,4241.172,4244.682,4229.146,4226.864,4221.454,stop,4244.682,-1.0
SPXUSD,2023-06-08,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-06-08 13:52:00+00:00,4270.046,4271.286,4262.771,4258.781,4256.737,none,4269.787,0.208870967741984
SPXUSD,2023-06-15,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-15 13:41:00+00:00,4348.873,4346.373,4357.927,4371.117,4375.933,tp1,4357.927,3.621600000000035
SPXUSD,2023-06-21,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-21 13:55:00+00:00,4378.582,4376.607,4382.264,4392.812,4393.557,stop,4376.607,-1.0
