symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3
SPXUSD,2023-01-03,2,bearish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-01-03 14:52:00+00:00,3839.616,3866.128,3813.104,,
SPXUSD,2023-01-05,1,bullish,S1_NY_EQ+Zone (1m) OR (5m+1m on news/flip),2023-01-05 14:34:00+00:00,3819.299,3819.049,3830.266,3859.813,
NSXUSD,2023-01-05,2,bullish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-01-05 14:51:00+00:00,10767.259,10758.489,10839.799,10948.079,
SPXUSD,2023-01-09,2,bearish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-01-09 20:47:00+00:00,3891.131,3918.751,3863.5109999999995,,
SPXUSD,2023-01-19,2,bullish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-01-19 14:57:00+00:00,3907.478,3903.775,3915.998,3923.622,3927.283
SPXUSD,2023-01-23,1,bullish,S1_NY_EQ+Zone (1m) OR (5m+1m on news/flip),2023-01-23 15:24:00+00:00,4005.122,3977.872,4032.372,,
SPXUSD,2023-01-26,2,bearish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-01-26 14:41:00+00:00,4043.46,4044.159,4040.933,4019.24,4015.55
SPXUSD,2023-02-02,1,bullish,S1_NY_EQ+Zone (1m) OR (5m+1m on news/flip),2023-02-02 14:47:00+00:00,4155.526,4148.716,4161.526,,
NSXUSD,2023-02-21,1,bearish,S1_NY_EQ+Zone (1m) OR (5m+1m on news/flip),2023-02-21 16:05:00+00:00,12152.109,12229.419,12074.799,,
SPXUSD,2023-03-09,2,bearish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-03-09 14:51:00+00:00,4013.19,4013.44,3995.629,3976.513,
SPXUSD,2023-03-14,2,bearish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-03-14 16:22:00+00:00,3921.544,3929.673,3880.013,3863.477,3857.951
NSXUSD,2023-03-17,2,bullish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-03-17 17:05:00+00:00,12532.799,12522.799,12625.889,,
SPXUSD,2023-03-21,1,bullish,S1_NY_EQ+Zone (1m) OR (5m+1m on news/flip),2023-03-21 16:26:00+00:00,3981.177,3972.611,3985.623,3990.111,
SPXUSD,2023-03-23,2,bearish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-03-23 19:20:00+00:00,3922.177,3981.117,3863.237,,
NSXUSD,2023-03-24,2,bullish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-03-24 20:02:00+00:00,12783.119,12655.309,12910.929000000002,,
SPXUSD,2023-03-30,2,bearish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-03-30 14:20:00+00:00,4052.117,4052.367,4047.38,4032.14,4021.769
NSXUSD,2023-04-03,2,bullish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-04-03 13:54:00+00:00,13079.999,13067.539,13092.458999999999,13108.359,13132.519
NSXUSD,2023-04-06,1,bullish,S1_NY_EQ+Zone (1m) OR (5m+1m on news/flip),2023-04-06 16:19:00+00:00,12960.329,12913.919,13006.739,,
NSXUSD,2023-04-10,2,bullish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-04-10 16:44:00+00:00,12979.619,12938.569,12996.799,13045.019,
SPXUSD,2023-04-12,2,bearish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-04-12 14:22:00+00:00,4131.769,4132.019,4117.783,4106.804,
NSXUSD,2023-04-17,2,bullish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-04-17 13:50:00+00:00,13069.789,13061.779,13093.109,13111.059,
SPXUSD,2023-04-18,2,bearish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-04-18 14:30:00+00:00,4163.956,4167.707,4160.205,4151.563,4147.873
SPXUSD,2023-04-19,2,bullish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-04-19 15:13:00+00:00,4140.847,4132.361,4149.333,,4152.722
SPXUSD,2023-04-24,2,bearish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-04-24 14:14:00+00:00,4132.22,4132.47,4115.961,4111.717,
SPXUSD,2023-04-25,2,bullish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-04-25 14:17:00+00:00,4119.431,4117.209,4119.962,4127.337,4135.107
SPXUSD,2023-05-03,2,bearish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-05-03 15:43:00+00:00,4121.257,4126.703,4115.810999999999,,
NSXUSD,2023-05-09,2,bullish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-05-09 14:56:00+00:00,13233.619,13211.629,13236.297,13268.919,13279.109
NSXUSD,2023-05-11,1,bullish,S1_NY_EQ+Zone (1m) OR (5m+1m on news/flip),2023-05-11 19:00:00+00:00,13368.639,13368.389,13397.999,,
SPXUSD,2023-05-17,2,bullish,S2_NY_EQ+Zone 5m Retrace + 1m BOS,2023-05-17 15:05:00+00:00,4117.619,4115.137,4131.092,,
