symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,first_hit,exit_price,R_multiple,hit_tp1,hit_tp2,hit_tp3,ts_tp1,ts_tp2,ts_tp3,be_triggered,ts_be
NSXUSD,2023-01-04,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-04 14:56:00+00:00,10893.789,10963.379,10878.659,,,tp1,10878.659,0.217416295444762,1,0,0,2023-01-04 16:00:00+01:00,,,0,
NSXUSD,2023-01-05,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-05 14:51:00+00:00,10767.259,10730.239,10839.799,10960.077,,tp1,10767.259,0.9797406807131283,1,0,0,2023-01-05 16:08:00+01:00,,,1,2023-01-05 16:08:00+01:00
NSXUSD,2023-01-10,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-10 14:53:00+00:00,11140.529,11064.729,11168.599,,,tp1,11168.599,0.3703166226912837,1,0,0,2023-01-10 16:12:00+01:00,,,0,
SPXUSD,2023-01-11,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-11 14:53:00+00:00,3936.738,3945.068,3931.446,3913.862,3913.04,tp1,3931.446,0.6352941176470196,1,0,0,2023-01-11 16:53:00+01:00,,,1,2023-01-11 16:53:00+01:00
NSXUSD,2023-01-25,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-25 14:47:00+00:00,11635.599,11623.279,11662.809,11795.089,,stop,11623.279,-1.0,0,0,0,,,,0,
SPXUSD,2023-01-26,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-26 14:47:00+00:00,4036.538,4052.306,4020.77,4018.378,4014.831,tp1,4020.77,1.0,1,0,0,2023-01-26 15:56:00+01:00,,,1,2023-01-26 15:56:00+01:00
NSXUSD,2023-01-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-27 15:00:00+00:00,12057.589,12089.289,11975.249,11961.759,11959.009,stop,12089.289,-1.0,0,0,0,,,,0,
SPXUSD,2023-02-01,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-01 14:44:00+00:00,4064.659,4067.536,4060.089,4057.468,,stop,4067.536,-1.0,0,0,0,,,,0,
NSXUSD,2023-02-02,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-02 14:43:00+00:00,12660.139,12674.299,12617.529,12465.089,12448.719,stop,12674.299,-1.0,0,0,0,,,,0,
SPXUSD,2023-02-08,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-08 14:58:00+00:00,4150.633,4149.07,4155.638,4163.625,4168.053,stop,4149.07,-1.0,0,0,0,,,,0,
SPXUSD,2023-02-09,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-09 15:23:00+00:00,4146.385,4150.729,4140.266,4134.726,4122.208,tp1,4140.266,1.4086095764273767,1,0,0,2023-02-09 16:25:00+01:00,,,1,2023-02-09 16:25:00+01:00
NSXUSD,2023-02-13,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-13 14:42:00+00:00,12351.789,12353.097,12310.509,12271.739,12222.989,stop,12353.097,-1.0,0,0,0,,,,0,
NSXUSD,2023-02-14,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-14 14:41:00+00:00,12460.399,12395.209,12550.407,12641.209,,tp1,12550.407,1.3807025617426234,1,0,0,2023-02-14 15:57:00+01:00,,,1,2023-02-14 15:57:00+01:00
NSXUSD,2023-02-15,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-15 14:46:00+00:00,12557.799,12517.599,12569.799,12572.389,,tp1,12569.799,0.29850746268656175,1,1,0,2023-02-15 15:48:00+01:00,2023-02-15 15:49:00+01:00,,1,2023-02-15 15:48:00+01:00
NSXUSD,2023-02-16,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-16 14:40:00+00:00,12512.109,12452.889,12571.329000000002,12738.807,12747.719,tp1,12571.329000000002,1.0,1,0,0,2023-02-16 16:20:00+01:00,,,1,2023-02-16 16:20:00+01:00
NSXUSD,2023-02-17,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-17 14:42:00+00:00,12332.119,12323.769,12382.899,,,stop,12323.769,-1.0,0,0,0,,,,0,
SPXUSD,2023-02-21,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-21 14:41:00+00:00,4044.967,4038.961,4050.973,4060.961,4068.527,stop,4038.961,-1.0,0,0,0,,,,0,
NSXUSD,2023-02-22,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-02-22 15:29:00+00:00,12029.029,12051.209,12007.769,,,tp1,12007.769,0.9585211902614941,1,0,0,2023-02-22 16:32:00+01:00,,,0,
NSXUSD,2023-03-28,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-03-28 13:46:00+00:00,12641.789,12634.929,12672.999,12711.089,,stop,12634.929,-1.0,0,0,0,,,,0,
NSXUSD,2023-04-14,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-04-14 14:10:00+00:00,13027.989,13010.869,13040.809,13112.099,,tp1,13040.809,0.7488317757009622,1,0,0,2023-04-14 16:30:00+02:00,,,1,2023-04-14 16:30:00+02:00
NSXUSD,2023-04-24,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-04-24 14:16:00+00:00,12994.039,13007.589,12989.669,12925.629,,tp1,12989.669,0.3225092250923273,1,0,0,2023-04-24 16:21:00+02:00,,,1,2023-04-24 16:21:00+02:00
SPXUSD,2023-04-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-04-27 14:17:00+00:00,4078.001,4080.8,4077.511,4067.241,4060.96,tp1,4078.001,0.0875312611647446,1,0,0,2023-04-27 16:24:00+02:00,,,1,2023-04-27 16:24:00+02:00
NSXUSD,2023-05-01,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-05-01 14:25:00+00:00,13216.079,13225.509,13206.649,,,stop,13225.509,-1.0,0,0,0,,,,0,
SPXUSD,2023-05-03,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-05-03 14:25:00+00:00,4126.753,4127.962,4121.723,,,stop,4127.962,-1.0,0,0,0,,,,0,
NSXUSD,2023-05-19,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-19 13:40:00+00:00,13845.419,13838.509,13851.097,13876.969,13904.989,stop,13838.509,-1.0,0,0,0,,,,0,
SPXUSD,2023-05-31,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-31 13:49:00+00:00,4186.449,4186.442,4188.237,4198.999,4207.927,stop,4186.442,-1.0,0,0,0,,,,0,
SPXUSD,2023-06-06,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-06 14:12:00+00:00,4272.293,4270.774,4276.352,4278.137,,stop,4270.774,-1.0,0,0,0,,,,0,
NSXUSD,2023-06-12,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-12 14:15:00+00:00,14611.059,14621.119,14586.889,14577.619,14539.729,stop,14621.119,-1.0,0,0,0,,,,0,
SPXUSD,2023-07-06,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-07-06 14:18:00+00:00,4409.157,4407.382,4425.127,4433.781,4445.657,stop,4407.382,-1.0,0,0,0,,,,0,
NSXUSD,2023-07-13,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-07-13 13:48:00+00:00,15415.909,15420.399,15389.889,15349.509,15314.719,stop,15420.399,-1.0,0,0,0,,,,0,
SPXUSD,2023-07-17,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-07-17 13:46:00+00:00,4499.626,4498.611,4501.876,4507.427,,stop,4498.611,-1.0,0,0,0,,,,0,
SPXUSD,2023-07-21,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-07-21 15:00:00+00:00,4541.021,4555.287,4526.754999999999,,,none,4548.186,-0.5022430954717297,0,0,0,,,,0,
NSXUSD,2023-07-28,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-07-28 14:30:00+00:00,15630.289,15636.789,15611.309,15513.859,15446.039,stop,15636.789,-1.0,0,0,0,,,,0,
NSXUSD,2023-08-01,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-08-01 13:55:00+00:00,15673.089,15656.819,15674.599,15758.609,15788.169,tp1,15674.599,0.09280885064537048,1,0,0,2023-08-01 16:04:00+02:00,,,1,2023-08-01 16:04:00+02:00
NSXUSD,2023-08-02,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-08-02 13:45:00+00:00,15575.359,15561.639,15594.359,15620.839,15690.489,tp1,15594.359,1.384839650145655,1,0,0,2023-08-02 15:51:00+02:00,,,1,2023-08-02 15:51:00+02:00
NSXUSD,2023-08-07,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-08-07 14:07:00+00:00,15353.799,15359.269,15309.919,,,stop,15359.269,-1.0,0,0,0,,,,0,
NSXUSD,2023-08-09,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-08-09 13:41:00+00:00,15309.819,15319.399,15292.309,15285.359,15266.129,tp1,15292.309,1.8277661795407465,1,0,0,2023-08-09 15:44:00+02:00,,,1,2023-08-09 15:44:00+02:00
SPXUSD,2023-08-10,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-08-10 13:40:00+00:00,4484.164,4497.904,4470.423999999999,,,stop,4497.904,-1.0,0,0,0,,,,0,
SPXUSD,2023-08-15,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-08-15 13:56:00+00:00,4460.37,4458.623,4465.12,4499.562,4500.977,stop,4458.623,-1.0,0,0,0,,,,0,
NSXUSD,2023-08-16,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-08-16 14:15:00+00:00,15006.329,15012.599,14996.259,,,stop,15012.599,-1.0,0,0,0,,,,0,
SPXUSD,2023-08-17,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-08-17 14:00:00+00:00,4418.402,4420.386,4412.131,4401.009,4393.081,tp1,4412.131,3.160786290321842,1,0,0,2023-08-17 16:45:00+02:00,,,1,2023-08-17 16:45:00+02:00
NSXUSD,2023-08-18,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-08-18 13:50:00+00:00,14575.419,14574.719,14586.979,14714.699,14729.589,stop,14574.719,-1.0,0,0,0,,,,0,
NSXUSD,2023-08-24,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-08-24 14:04:00+00:00,15292.309,15272.019,15361.399,15364.099,,stop,15272.019,-1.0,0,0,0,,,,0,
SPXUSD,2023-08-25,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-08-25 13:50:00+00:00,4394.611,4395.927,4391.427,4369.223,,tp1,4391.427,2.419452887538504,1,0,0,2023-08-25 16:05:00+02:00,,,1,2023-08-25 16:05:00+02:00
SPXUSD,2023-08-28,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-08-28 13:51:00+00:00,4422.911,4425.477,4422.667,4406.914,4405.679,tp1,4422.911,0.04754481683548437,1,0,0,2023-08-28 15:51:00+02:00,,,1,2023-08-28 15:51:00+02:00
SPXUSD,2023-08-29,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-08-29 14:06:00+00:00,4429.992,4428.727,4431.966,4445.253,,stop,4428.727,-1.0,0,0,0,,,,0,
NSXUSD,2023-09-01,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-09-01 13:51:00+00:00,15588.839,15614.189,15527.919,15469.609,,stop,15614.189,-1.0,0,0,0,,,,0,
SPXUSD,2023-09-05,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-09-05 13:40:00+00:00,4502.927,4502.177,4505.623,4512.376,4516.126,stop,4502.177,-1.0,0,0,0,,,,0,
SPXUSD,2023-09-06,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-09-06 13:46:00+00:00,4484.962,4482.95,4487.669,4494.687,4497.619,tp1,4487.669,1.3454274353869697,1,0,0,2023-09-06 15:55:00+02:00,,,1,2023-09-06 15:55:00+02:00
SPXUSD,2023-09-07,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-09-07 14:02:00+00:00,4432.766,4429.5,4445.584,4458.602,4465.464,stop,4429.5,-1.0,0,0,0,,,,0,
SPXUSD,2023-09-13,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-09-13 14:02:00+00:00,4463.914,4463.444,4468.187,,,stop,4463.444,-1.0,0,0,0,,,,0,
NSXUSD,2023-09-14,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-09-14 13:45:00+00:00,15389.789,15398.239,15367.519,15364.519,15358.829,stop,15398.239,-1.0,0,0,0,,,,0,
SPXUSD,2023-09-21,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-09-21 13:53:00+00:00,4363.084,4361.104,4367.027,4394.177,4401.547,tp1,4367.027,1.991414141414687,1,0,0,2023-09-21 16:00:00+02:00,,,1,2023-09-21 16:00:00+02:00
SPXUSD,2023-09-22,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-09-22 13:47:00+00:00,4345.341,4346.321,4345.087,4331.41,4324.169,tp1,4345.087,0.2591836734694067,1,0,0,2023-09-22 15:48:00+02:00,,,1,2023-09-22 15:48:00+02:00
SPXUSD,2023-09-26,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-09-26 13:52:00+00:00,4313.477,4311.984,4325.781,,,stop,4311.984,-1.0,0,0,0,,,,0,
NSXUSD,2023-09-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-09-27 13:57:00+00:00,14605.389,14607.789,14572.149,,,stop,14607.789,-1.0,0,0,0,,,,0,
NSXUSD,2023-09-29,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-09-29 14:04:00+00:00,14840.519,14852.569,14795.879,14724.859,14670.219,stop,14852.569,-1.0,0,0,0,,,,0,
SPXUSD,2023-10-03,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-10-03 13:56:00+00:00,4259.59,4258.591,4269.699,4299.252,,stop,4258.591,-1.0,0,0,0,,,,0,
NSXUSD,2023-10-04,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-10-04 13:50:00+00:00,14641.369,14652.059,14609.719,14442.269,,tp1,14609.719,2.960710944808731,1,0,0,2023-10-04 16:21:00+02:00,,,1,2023-10-04 16:21:00+02:00
NSXUSD,2023-10-06,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-10-06 13:50:00+00:00,14537.589,14577.717,14497.461,,,stop,14577.717,-1.0,0,0,0,,,,0,
SPXUSD,2023-10-10,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-10-10 13:44:00+00:00,4337.63,4339.116,4334.147,4332.776,,stop,4339.116,-1.0,0,0,0,,,,0,
NSXUSD,2023-10-11,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-10-11 13:46:00+00:00,15176.119,15182.099,15145.099,15134.329,,stop,15182.099,-1.0,0,0,0,,,,0,
NSXUSD,2023-10-12,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-10-12 13:56:00+00:00,15260.039,15275.819,15230.209,,,stop,15275.819,-1.0,0,0,0,,,,0,
NSXUSD,2023-10-16,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-10-16 13:52:00+00:00,15043.099,15045.089,14988.119,14959.339,,stop,15045.089,-1.0,0,0,0,,,,0,
SPXUSD,2023-10-17,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-10-17 13:50:00+00:00,4351.324,4348.979,4363.987,4372.959,4376.799,stop,4348.979,-1.0,0,0,0,,,,0,
NSXUSD,2023-10-18,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-10-18 14:01:00+00:00,15011.849,15006.539,15054.819,15102.789,15117.989,stop,15006.539,-1.0,0,0,0,,,,0,
SPXUSD,2023-10-19,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-10-19 14:06:00+00:00,4321.673,4323.177,4297.907,4293.514,,stop,4323.177,-1.0,0,0,0,,,,0,
NSXUSD,2023-10-20,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-10-20 14:00:00+00:00,14723.199,14714.079,14728.159,14781.677,,tp1,14728.159,0.5438596491226636,1,0,0,2023-10-20 16:03:00+02:00,,,1,2023-10-20 16:03:00+02:00
NSXUSD,2023-10-24,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-10-24 13:42:00+00:00,14697.409,14705.799,14681.509,14641.039,14620.529,tp1,14681.509,1.895113230035434,1,0,0,2023-10-24 16:05:00+02:00,,,1,2023-10-24 16:05:00+02:00
NSXUSD,2023-10-25,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-10-25 13:46:00+00:00,14663.529,14661.579,14691.919,,,stop,14661.579,-1.0,0,0,0,,,,0,
NSXUSD,2023-10-30,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-10-30 14:42:00+00:00,14254.619,14271.699,14247.319,,,tp1,14247.319,0.42740046838414064,1,0,0,2023-10-30 15:43:00+01:00,,,0,
NSXUSD,2023-11-01,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-11-01 14:47:00+00:00,14545.779,14561.779,14541.069,14330.069,,stop,14561.779,-1.0,0,0,0,,,,0,
SPXUSD,2023-11-02,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-11-02 15:00:00+00:00,4301.88,4303.927,4292.261,4247.02,4242.807,stop,4303.927,-1.0,0,0,0,,,,0,
NSXUSD,2023-11-03,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-11-03 14:51:00+00:00,15006.109,15027.789,14975.937,14853.589,,stop,15027.789,-1.0,0,0,0,,,,0,
NSXUSD,2023-11-06,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-11-06 15:02:00+00:00,15126.089,15149.359,15119.619,15105.539,15084.309,tp1,15126.089,0.13902019767939888,1,0,0,2023-11-06 16:03:00+01:00,,,1,2023-11-06 16:03:00+01:00
SPXUSD,2023-11-07,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-11-07 14:46:00+00:00,4358.753,4361.267,4355.431,4349.174,,stop,4361.267,-1.0,0,0,0,,,,0,
