day,symbol,scenario,bias,entry_time_utc,pnl_R,events
2023-01-05,NSXUSD,1,bullish,2023-01-05 14:34:00+00:00,0.0,STOP@2023-01-05 14:34:00+00:00
2023-02-10,NSXUSD,1,bullish,2023-02-10 14:38:00+00:00,0.0,STOP@2023-02-10 14:38:00+00:00
2023-03-28,NSXUSD,1,bullish,2023-03-28 13:36:00+00:00,0.0,STOP@2023-03-28 13:36:00+00:00
2023-04-05,SPXUSD,1,bullish,2023-04-05 13:36:00+00:00,0.0,STOP@2023-04-05 13:36:00+00:00
2023-04-12,NSXUSD,1,bearish,2023-04-12 13:35:00+00:00,0.0,STOP@2023-04-12 13:35:00+00:00
2023-04-17,NSXUSD,1,bullish,2023-04-17 13:35:00+00:00,0.0,STOP@2023-04-17 13:35:00+00:00
2023-04-25,NSXUSD,1,bullish,2023-04-25 14:05:00+00:00,0.0,STOP@2023-04-25 14:05:00+00:00
2023-04-27,SPXUSD,1,bearish,2023-04-27 14:04:00+00:00,0.0,STOP@2023-04-27 14:04:00+00:00
2023-05-08,NSXUSD,1,bearish,2023-05-08 14:04:00+00:00,0.0,STOP@2023-05-08 14:04:00+00:00
2023-05-10,SPXUSD,1,bullish,2023-05-10 13:42:00+00:00,1.000000000000125,TP1@2023-05-10 13:49:00+00:00 | TP1@2023-05-10 13:50:00+00:00
2023-05-11,SPXUSD,1,bullish,2023-05-11 13:34:00+00:00,0.0,STOP@2023-05-11 13:34:00+00:00
2023-05-23,SPXUSD,1,bullish,2023-05-23 13:35:00+00:00,0.0,STOP@2023-05-23 13:35:00+00:00
2023-06-02,SPXUSD,1,bearish,2023-06-02 13:51:00+00:00,1.0,TP1@2023-06-02 13:52:00+00:00 | TP1@2023-06-02 13:53:00+00:00
2023-06-20,NSXUSD,1,bullish,2023-06-20 14:05:00+00:00,0.0,STOP@2023-06-20 14:05:00+00:00
2023-06-22,NSXUSD,1,bullish,2023-06-22 14:05:00+00:00,0.0,STOP@2023-06-22 14:05:00+00:00
2023-06-23,SPXUSD,1,bullish,2023-06-23 13:34:00+00:00,0.0,STOP@2023-06-23 13:34:00+00:00
2023-07-12,NSXUSD,1,bearish,2023-07-12 13:36:00+00:00,0.0,STOP@2023-07-12 13:36:00+00:00
2023-08-03,SPXUSD,1,bullish,2023-08-03 13:35:00+00:00,0.0,STOP@2023-08-03 13:35:00+00:00
2023-08-11,SPXUSD,1,bullish,2023-08-11 13:34:00+00:00,0.0,STOP@2023-08-11 13:34:00+00:00
2023-08-22,SPXUSD,1,bearish,2023-08-22 13:34:00+00:00,0.0,STOP@2023-08-22 13:34:00+00:00
2023-08-31,NSXUSD,1,bearish,2023-08-31 13:35:00+00:00,0.0,STOP@2023-08-31 13:35:00+00:00
2023-09-01,NSXUSD,1,bearish,2023-09-01 13:39:00+00:00,0.0,STOP@2023-09-01 13:39:00+00:00
2023-09-05,SPXUSD,1,bullish,2023-09-05 13:34:00+00:00,0.0,STOP@2023-09-05 13:34:00+00:00
2023-09-21,NSXUSD,1,bullish,2023-09-21 13:37:00+00:00,0.0,STOP@2023-09-21 13:37:00+00:00
2023-09-28,SPXUSD,1,bullish,2023-09-28 13:34:00+00:00,0.0,STOP@2023-09-28 13:34:00+00:00
2023-12-07,NSXUSD,1,bearish,2023-12-07 14:41:00+00:00,0.0,STOP@2023-12-07 14:41:00+00:00
2023-12-28,SPXUSD,1,bullish,2023-12-28 14:34:00+00:00,0.0,STOP@2023-12-28 14:34:00+00:00
2023-12-29,NSXUSD,1,bullish,2023-12-29 14:34:00+00:00,0.0,STOP@2023-12-29 14:34:00+00:00
2024-01-02,SPXUSD,1,bullish,2024-01-02 14:37:00+00:00,0.5,TP1@2024-01-02 14:37:00+00:00 | STOP@2024-01-02 14:38:00+00:00
2024-01-24,SPXUSD,1,bearish,2024-01-24 14:35:00+00:00,0.0,STOP@2024-01-24 14:35:00+00:00
2024-02-22,SPXUSD,1,bearish,2024-02-22 14:40:00+00:00,0.5,TP1@2024-02-22 14:40:00+00:00 | STOP@2024-02-22 14:41:00+00:00
2024-02-28,SPXUSD,1,bullish,2024-02-28 14:34:00+00:00,0.0,STOP@2024-02-28 14:34:00+00:00
2024-03-04,NSXUSD,1,bullish,2024-03-04 14:34:00+00:00,0.0,STOP@2024-03-04 14:34:00+00:00
2024-03-12,NSXUSD,1,bearish,2024-03-12 14:36:00+00:00,0.0,STOP@2024-03-12 14:36:00+00:00
2024-03-21,NSXUSD,1,bearish,2024-03-21 14:34:00+00:00,0.0,STOP@2024-03-21 14:34:00+00:00
2024-04-09,SPXUSD,1,bearish,2024-04-09 13:35:00+00:00,0.0,STOP@2024-04-09 13:35:00+00:00
2024-04-12,NSXUSD,1,bullish,2024-04-12 13:34:00+00:00,0.0,STOP@2024-04-12 13:34:00+00:00
2024-04-23,SPXUSD,1,bearish,2024-04-23 13:34:00+00:00,0.5,TP1@2024-04-23 13:34:00+00:00 | STOP@2024-04-23 13:35:00+00:00
