symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3
NSXUSD,2023-01-03,1,bearish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-01-03 15:30:00+00:00,10831.089,11045.799,10616.378999999999,,
SPXUSD,2023-01-03,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-01-03 14:52:00+00:00,3839.616,3866.128,3813.104,,
NSXUSD,2023-01-05,2,bullish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-01-05 14:51:00+00:00,10767.259,10758.749,10839.799,10948.079,
SPXUSD,2023-01-06,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-01-06 15:04:00+00:00,3828.336,3828.586,3808.526,3803.225,
SPXUSD,2023-01-09,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-01-09 20:47:00+00:00,3891.131,3918.751,3863.5109999999995,,
NSXUSD,2023-01-18,1,bearish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-01-18 16:06:00+00:00,11514.239,11623.789,11404.688999999998,,
SPXUSD,2023-01-18,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-01-18 16:43:00+00:00,3956.783,4003.463,3910.1029999999996,,
NSXUSD,2023-01-19,2,bullish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-01-19 14:57:00+00:00,11339.569,11326.249,11379.649,11406.059,11407.739
NSXUSD,2023-01-31,1,bearish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-01-31 14:59:00+00:00,11942.849,11966.489,11915.619,11827.289,
SPXUSD,2023-02-02,1,bullish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-02-02 14:47:00+00:00,4155.526,4155.276,4161.526,,
NSXUSD,2023-02-21,1,bearish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-02-21 16:05:00+00:00,12152.109,12229.419,12074.799,,
SPXUSD,2023-02-27,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-02-27 16:01:00+00:00,3997.67,4002.911,3996.426,3984.679,3970.682
NSXUSD,2023-02-28,1,bearish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-02-28 17:14:00+00:00,12087.309,12087.559,12048.229,12017.897,
SPXUSD,2023-03-14,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-03-14 16:22:00+00:00,3921.544,3929.673,3880.013,3864.832,3860.402
SPXUSD,2023-03-17,1,bullish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-03-17 16:30:00+00:00,3928.42,3917.632,3928.611,3972.677,
SPXUSD,2023-03-21,1,bullish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-03-21 16:26:00+00:00,3981.177,3975.62,3985.623,3990.111,
SPXUSD,2023-03-22,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-03-22 16:40:00+00:00,3994.116,4002.853,3985.379,,
NSXUSD,2023-03-23,1,bearish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-03-23 18:39:00+00:00,12654.169,12816.999,12491.339,,
SPXUSD,2023-03-23,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-03-23 19:20:00+00:00,3922.177,3981.117,3863.237,,
NSXUSD,2023-03-24,2,bullish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-03-24 20:02:00+00:00,12783.119,12675.299,12890.939,,
SPXUSD,2023-03-30,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-03-30 14:20:00+00:00,4052.117,4052.367,4047.38,4033.686,4022.297
NSXUSD,2023-04-03,2,bullish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-04-03 13:54:00+00:00,13079.999,13070.139,13089.859,13108.359,13132.519
NSXUSD,2023-04-10,2,bullish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-04-10 14:14:00+00:00,12945.729,12945.479,12996.799,13045.019,
SPXUSD,2023-04-12,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-04-12 14:22:00+00:00,4131.769,4132.019,4117.783,4107.337,
SPXUSD,2023-04-14,1,bullish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-04-14 14:17:00+00:00,4140.387,4139.349,4147.82,,
SPXUSD,2023-04-17,1,bullish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-04-17 14:19:00+00:00,4136.367,4136.117,4142.629,4148.611,
SPXUSD,2023-04-18,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-04-18 14:30:00+00:00,4163.956,4167.707,4160.205,4151.937,4147.937
NSXUSD,2023-04-19,2,bullish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-04-19 14:35:00+00:00,13027.669,12993.249,13062.089,,13082.709
NSXUSD,2023-04-24,1,bearish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-04-24 14:16:00+00:00,12994.039,12996.279,12989.669,12935.109,
SPXUSD,2023-04-24,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-04-24 14:14:00+00:00,4132.22,4132.47,4111.961,,
NSXUSD,2023-05-05,1,bearish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-05-05 13:55:00+00:00,13054.279,13058.069,13020.119,,13014.779
NSXUSD,2023-05-08,1,bullish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-05-08 14:21:00+00:00,13229.649,13229.399,13256.489,13258.759,13259.139
SPXUSD,2023-05-25,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-05-25 14:14:00+00:00,4150.896,4151.146,4138.477,4127.521,
SPXUSD,2023-05-30,1,bullish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-05-30 15:06:00+00:00,4213.994,4213.744,4230.729,4231.527,
SPXUSD,2023-05-30,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-05-30 13:44:00+00:00,4228.214,4228.464,4226.711,4216.226,4213.232
SPXUSD,2023-06-15,1,bullish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-06-15 13:50:00+00:00,4357.177,4350.376,4363.977999999999,4368.864,4374.709
NSXUSD,2023-06-16,1,bearish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-06-16 14:31:00+00:00,15236.099,15244.869,15212.989,15158.787,15131.799
SPXUSD,2023-06-16,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-06-16 20:00:00+00:00,4415.866,4434.973,4396.759,,
SPXUSD,2023-06-21,1,bullish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-06-21 13:45:00+00:00,4379.089,4378.839,4382.264,4390.839,4392.277
SPXUSD,2023-06-23,1,bullish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-06-23 16:43:00+00:00,4354.96,4352.047,4357.227,4367.934,4383.177
NSXUSD,2023-06-23,2,bullish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-06-23 17:25:00+00:00,14940.099,14905.859,14953.307,14987.239,15051.639
SPXUSD,2023-07-03,1,bullish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-07-03 14:24:00+00:00,4445.649,4445.399,4453.77,4454.371,
SPXUSD,2023-07-06,1,bullish,S1_NY: 5m retrace + 1m BOS + EQ+Zone,2023-07-06 14:18:00+00:00,4409.157,4407.623,4430.404,4432.81,4445.101
NSXUSD,2023-07-07,2,bullish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-07-07 18:01:00+00:00,15195.099,15090.649,15299.549,,
SPXUSD,2023-07-13,2,bearish,S2_NY: 5m retrace + 1m BOS + EQ+Zone,2023-07-13 13:49:00+00:00,4488.593,4488.843,4483.64,4481.676,4477.406
