symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,pnl_R,exit_time_utc,exit_price,exit_reason
SPXUSD,2023-05-30,2,bearish,S2_NY: BOS-path only,2023-05-30 13:41:00+00:00,4229.226,4230.777,4226.711,4214.717,4212.732,0.81077,2023-05-30 13:56:00+00:00,4229.226,breakeven_after_tp1
SPXUSD,2023-06-15,1,bullish,S1_NY: BOS-path only,2023-06-15 13:50:00+00:00,4357.177,4352.677,4361.677,4371.117,4375.933,2.31644,2023-06-15 16:01:00+00:00,4394.334,all_tps_hit
SPXUSD,2023-08-02,1,bullish,S1_NY: BOS-path only,2023-08-02 13:50:00+00:00,4550.462,4547.027,4560.082,,4569.487,-1.0,2023-08-02 14:01:00+00:00,4547.027,stop_before_tp1
SPXUSD,2023-08-07,2,bearish,S2_NY: BOS-path only,2023-08-07 13:44:00+00:00,4493.12,4494.87,4485.611,,4481.734,-1.0,2023-08-07 13:47:00+00:00,4494.87,stop_before_tp1
SPXUSD,2023-08-28,2,bearish,S2_NY: BOS-path only,2023-08-28 13:47:00+00:00,4423.676,4426.727,4422.667,4408.182,4406.161,0.16536,2023-08-28 13:52:00+00:00,4423.676,breakeven_after_tp1
SPXUSD,2023-09-14,1,bullish,S1_NY: BOS-path only,2023-09-14 13:39:00+00:00,4480.149,4479.899,4485.852,4488.067,,-1.0,2023-09-14 13:40:00+00:00,4479.899,stop_before_tp1
SPXUSD,2024-03-27,2,bearish,S2_NY: BOS-path only,2024-03-27 14:43:00+00:00,5217.861,5222.427,5217.111,,,0.08213,2024-03-27 14:54:00+00:00,5217.861,breakeven_after_tp1
SPXUSD,2024-04-16,2,bearish,S2_NY: BOS-path only,2024-04-16 13:56:00+00:00,5070.752,5077.882,5061.614,5048.62,5042.337,2.41315,2024-04-16 15:37:00+00:00,5041.233,all_tps_hit
SPXUSD,2024-05-08,1,bullish,S1_NY: BOS-path only,2024-05-08 13:40:00+00:00,5165.519,5165.269,5170.211,5192.134,,9.384,2024-05-08 20:00:00+00:00,5165.519,timeout
SPXUSD,2024-06-06,1,bullish,S1_NY: BOS-path only,2024-06-06 13:45:00+00:00,5352.583,5352.087,5358.81,,5360.412,-1.0,2024-06-06 13:46:00+00:00,5352.087,stop_before_tp1
SPXUSD,2024-12-27,1,bullish,S1_NY: BOS-path only,2024-12-27 14:40:00+00:00,5990.626,5990.376,5999.126,6023.382,6039.879,-1.0,2024-12-27 14:41:00+00:00,5990.376,stop_before_tp1
